ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,99792,14929,114721
2,Andhra Pradesh,5349866,2279714,7629580
3,Arunachal Pradesh,228541,77880,306421
4,Assam,2759467,748119,3507586
5,Bihar,7323327,1690243,9013570
6,Chandigarh,214399,74107,288506
7,Chhattisgarh,4993070,1081314,6074384
8,Dadra and Nagar Haveli and Daman and Diu,96768,25877,122645
9,Delhi,3706105,1094619,4800724
10,Goa,355380,94422,449802
11,Gujarat,11040715,3823467,14864182
12,Haryana,4066917,915973,4982890
13,Himachal Pradesh,1792687,432884,2225571
14,Jammu and Kashmir,2309920,533068,2842988
15,Jharkhand,2984496,666485,3650981
16,Karnataka,8828574,2532660,11361234
17,Kerala,6519860,2016073,8535933
18,Ladakh,88110,37256,125366
19,Lakshadweep,20957,6521,27478
20,Madhya Pradesh,7468995,1711025,9180020
21,Maharashtra,15669832,4269980,19939812
22,Manipur,320211,69848,390059
23,Meghalaya,339301,74091,413392
24,Mizoram,242712,50908,293620
25,Nagaland,190693,51763,242456
26,Odisha,5327488,1417510,6744998
27,Puducherry,182786,50641,233427
28,Punjab,3457841,706941,4164782
29,Rajasthan,12411685,2987117,15398802
30,Sikkim,166701,59610,226311
31,Tamil Nadu,5118546,1922153,7040699
32,Telangana,4386463,1063960,5450423
33,Tripura,970370,504172,1474542
34,Uttarakhand,1993013,680283,2673296
35,Uttar Pradesh,11918603,3289048,15207651
36,West Bengal,8935993,3754843,12690836
37,Miscellaneous,1703718,1415896,3119614
