ID,state,total_cases,discharged,deaths
1,Andaman and Nicobar Islands,33,11,0
2,Andhra Pradesh,1097,231,31
3,Arunachal Pradesh,1,1,0
4,Assam,36,27,1
5,Bihar,274,56,2
6,Chandigarh,30,17,0
7,Chhattisgarh,37,32,0
8,Delhi,2918,877,54
9,Goa,7,7,0
10,Gujarat,3301,313,151
11,Haryana,289,176,3
12,Himachal Pradesh,40,22,1
13,Jammu and Kashmir,523,137,6
14,Jharkhand,82,13,3
15,Karnataka,503,182,19
16,Kerala,458,338,4
17,Ladakh,20,14,0
18,Madhya Pradesh,2096,302,103
19,Maharashtra,8068,1076,342
20,Manipur,2,2,0
21,Meghalaya,12,0,1
22,Mizoram,1,0,0
23,Odisha,103,35,1
24,Puducherry,7,3,0
25,Punjab,313,71,18
26,Rajasthan,2185,518,33
27,Tamil Nadu,1885,1020,24
28,Telengana,1002,280,26
29,Tripura,2,2,0
30,Uttarakhand,50,28,0
31,Uttar Pradesh,1868,289,29
32,West Bengal,649,105,20
