ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4184,3937,57,190
2,Andhra Pradesh,796919,758138,6524,32257
3,Arunachal Pradesh,14077,11407,32,2638
4,Assam,203282,177662,896,24724
5,Bihar,209447,197208,1026,11213
6,Chandigarh,13848,12924,212,712
7,Chhattisgarh,170130,143212,1680,25238
8,Dadra and Nagar Haveli and Daman and Diu,3213,3164,2,47
9,Delhi,344318,312918,6163,25237
10,Goa,41586,38031,564,2991
11,Gujarat,163959,146171,3667,14121
12,Haryana,154495,142798,1688,10009
13,Himachal Pradesh,19844,16937,284,2623
14,Jammu and Kashmir,90166,80802,1412,7952
15,Jharkhand,98610,91629,859,6122
16,Karnataka,788551,684835,10770,92946
17,Kerala,369323,274675,1255,93393
18,Ladakh,5812,4902,68,842
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,164341,149353,2842,12146
21,Maharashtra,1625197,1431856,42831,150510
22,Manipur,16621,12393,127,4101
23,Meghalaya,8720,6981,78,1661
24,Mizoram,2359,2175,0,184
25,Nagaland,8296,6469,28,1799
26,Odisha,276094,257041,1196,17857
27,Puducherry,33832,29211,582,4039
28,Punjab,129693,121155,4072,4466
29,Rajasthan,180755,160614,1800,18341
30,Sikkim,3727,3410,63,254
31,Tamil Nadu,700193,655170,10825,34198
32,Telangana,229001,207326,1298,20377
33,Tripura,30070,27502,339,2229
34,Uttarakhand,59508,53643,968,4897
35,Uttar Pradesh,463858,427937,6790,29131
36,West Bengal,337283,294911,6308,36064
