ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,5390,5200,64,126
2,Andhra Pradesh,962037,909941,7410,44686
3,Arunachal Pradesh,16987,16809,56,122
4,Assam,224455,216705,1135,6615
5,Bihar,324117,277667,1749,44701
6,Chandigarh,33934,29896,413,3625
7,Chhattisgarh,544840,410913,5908,128019
8,Dadra and Nagar Haveli and Daman and Diu,4803,3876,4,923
9,Delhi,853460,766398,12121,74941
10,Goa,67212,59277,883,7052
11,Gujarat,404569,337545,5377,61647
12,Haryana,356971,311339,3415,42217
13,Himachal Pradesh,76375,66489,1190,8696
14,Jammu and Kashmir,146692,133168,2057,11467
15,Jharkhand,162945,133479,1456,28010
16,Karnataka,1161065,1014152,13351,133562
17,Kerala,1239424,1140486,4929,94009
18,Ladakh,12131,10351,133,1647
19,Lakshadweep,1165,774,1,390
20,Madhya Pradesh,408080,334947,4557,68576
21,Maharashtra,3839338,3106828,60473,672037
22,Manipur,29721,29090,376,255
23,Meghalaya,14871,14038,153,680
24,Mizoram,4904,4509,12,383
25,Nagaland,12555,12285,94,176
26,Odisha,368258,346134,1944,20180
27,Puducherry,47771,42595,708,4468
28,Punjab,300038,257946,7902,34190
29,Rajasthan,414617,344331,3151,67135
30,Sikkim,6696,6161,136,399
31,Tamil Nadu,991451,907947,13113,70391
32,Telangana,355433,314441,1838,39154
33,Tripura,34034,33178,394,462
34,Uttarakhand,124033,104872,1868,17293
35,Uttar Pradesh,851620,650333,9830,191457
36,West Bengal,659927,599721,10568,49638
