ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10689,10536,129,24
2,Andhra Pradesh,2338350,2323392,14733,225
3,Arunachal Pradesh,66848,66537,296,15
4,Assam,745639,734902,8034,2703
5,Bihar,850549,838042,12302,205
6,Chandigarh,99206,98000,1181,25
7,Chhattisgarh,1176363,1161811,14134,418
8,Dadra and Nagar Haveli and Daman and Diu,11587,11582,4,1
9,Delhi,2003461,1976580,26502,379
10,Goa,258120,253917,3966,237
11,Gujarat,1274842,1262998,11034,810
12,Haryana,1054977,1044031,10705,241
13,Himachal Pradesh,312218,307893,4210,115
14,Jammu and Kashmir,479157,474254,4785,118
15,Jharkhand,442367,436973,5330,64
16,Karnataka,4064979,4021860,40284,2835
17,Kerala,6806816,6725556,71170,10090
18,Ladakh,29339,29097,231,11
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1054320,1043441,10771,108
21,Maharashtra,8121873,7970493,148346,3034
22,Manipur,139812,137657,2148,7
23,Meghalaya,96700,95036,1622,42
24,Mizoram,238446,237596,723,127
25,Nagaland,35961,35171,781,9
26,Odisha,1334236,1323646,9194,1396
27,Puducherry,174636,172382,1974,280
28,Punjab,782021,763937,17916,168
29,Rajasthan,1313198,1303151,9641,406
30,Sikkim,44187,43626,498,63
31,Tamil Nadu,3583613,3540100,38047,5466
32,Telangana,837969,833215,4111,643
33,Tripura,107801,106833,939,29
34,Uttarakhand,449206,440472,7751,983
35,Uttar Pradesh,2126248,2102164,23622,462
36,West Bengal,2114749,2090126,21507,3116
