ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,2968,0,2968
2,Andhra Pradesh,970520,0,970520
3,Arunachal Pradesh,2865,0,2865
4,Assam,207104,0,207104
5,Bihar,437286,0,437286
6,Chandigarh,3934,0,3934
7,Chhattisgarh,335130,0,335130
8,Dadra and Nagar Haveli and Daman and Diu,16705,0,16705
9,Delhi,54253,0,54253
10,Goa,13002,0,13002
11,Gujarat,1098762,0,1098762
12,Haryana,163095,0,163095
13,Himachal Pradesh,130393,0,130393
14,Jammu and Kashmir,67376,0,67376
15,Jharkhand,76890,0,76890
16,Karnataka,802486,0,802486
17,Kerala,137214,0,137214
18,Ladakh,1121,0,1121
19,Lakshadweep,735,0,735
20,Madhya Pradesh,986527,0,986527
21,Maharashtra,438366,0,438366
22,Manipur,1740,0,1740
23,Meghalaya,1339,0,1339
24,Mizoram,319,0,319
25,Nagaland,372,0,372
26,Odisha,171820,0,171820
27,Puducherry,2045,0,2045
28,Punjab,7355,0,7355
29,Rajasthan,819662,0,819662
30,Sikkim,5389,0,5389
31,Tamil Nadu,546387,0,546387
32,Telangana,87641,0,87641
33,Tripura,39263,0,39263
34,Uttarakhand,141117,0,141117
35,Uttar Pradesh,460237,0,460237
36,West Bengal,280348,0,280348
37,Miscellaneous,0,0,0
