ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10031,9901,129,1
2,Andhra Pradesh,2319328,2304148,14730,450
3,Arunachal Pradesh,64484,64186,296,2
4,Assam,724193,716190,6639,1364
5,Bihar,830435,818144,12256,35
6,Chandigarh,91894,90708,1165,21
7,Chhattisgarh,1151995,1137829,14034,132
8,Dadra and Nagar Haveli and Daman and Diu,11441,11437,4,0
9,Delhi,1864135,1837497,26148,490
10,Goa,245265,241385,3830,50
11,Gujarat,1223806,1212565,10942,299
12,Haryana,984788,973798,10600,390
13,Himachal Pradesh,284412,280075,4132,205
14,Jammu and Kashmir,453595,448733,4750,112
15,Jharkhand,435069,429684,5315,70
16,Karnataka,3944970,3903084,40042,1844
17,Kerala,6529049,6455655,67476,5918
18,Ladakh,28215,27961,228,26
19,Lakshadweep,11402,11350,52,0
20,Madhya Pradesh,1040940,1030077,10734,129
21,Maharashtra,7872817,7723959,143769,5089
22,Manipur,137057,134859,2120,78
23,Meghalaya,93738,92096,1592,50
24,Mizoram,223343,221253,678,1412
25,Nagaland,35467,34677,758,32
26,Odisha,1287285,1277677,9116,492
27,Puducherry,165773,163801,1962,10
28,Punjab,758981,741096,17738,147
29,Rajasthan,1282745,1272873,9551,321
30,Sikkim,39131,38662,451,18
31,Tamil Nadu,3452534,3414004,38025,505
32,Telangana,790989,786241,4111,637
33,Tripura,100871,99951,919,1
34,Uttarakhand,437092,428809,7691,592
35,Uttar Pradesh,2070441,2046249,23492,700
36,West Bengal,2016976,1994974,21197,805
