ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10751,10622,129,0
2,Andhra Pradesh,2339134,2324374,14733,27
3,Arunachal Pradesh,66891,66595,296,0
4,Assam,746102,738065,8035,2
5,Bihar,851444,839129,12303,12
6,Chandigarh,99418,98205,1182,31
7,Chhattisgarh,1177834,1163665,14147,22
8,Dadra and Nagar Haveli and Daman and Diu,11591,11587,4,0
9,Delhi,2008579,1981584,26524,471
10,Goa,259449,255246,4013,190
11,Gujarat,1280162,1267581,11052,1529
12,Haryana,1057087,1046169,10714,204
13,Himachal Pradesh,313416,308791,4215,410
14,Jammu and Kashmir,479618,474767,4785,66
15,Jharkhand,442605,437254,5332,19
16,Karnataka,4076139,4035135,40321,683
17,Kerala,6833605,6759694,71600,2311
18,Ladakh,29433,29198,231,4
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1055060,1044233,10777,50
21,Maharashtra,8141457,7991066,148435,1956
22,Manipur,139924,137775,2149,0
23,Meghalaya,96791,95163,1625,3
24,Mizoram,238969,238243,726,0
25,Nagaland,35988,35206,782,0
26,Odisha,1336803,1327510,9205,88
27,Puducherry,176010,173987,1976,47
28,Punjab,784698,765300,19289,109
29,Rajasthan,1315906,1306053,9661,192
30,Sikkim,44338,43829,500,9
31,Tamil Nadu,3596110,3557478,38050,582
32,Telangana,842376,838116,4111,149
33,Tripura,108034,107094,940,0
34,Uttarakhand,449568,441791,7755,22
35,Uttar Pradesh,2128505,2104672,23649,184
36,West Bengal,2118937,2097343,21533,61
