ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7572,7437,129,6
2,Andhra Pradesh,2021325,1992256,13911,15158
3,Arunachal Pradesh,53338,52383,264,691
4,Assam,591980,579935,5699,6346
5,Bihar,725753,716033,9655,65
6,Chandigarh,65121,64267,814,40
7,Chhattisgarh,1004635,990711,13556,368
8,Dadra and Nagar Haveli and Daman and Diu,10665,10659,4,2
9,Delhi,1437959,1412526,25082,351
10,Goa,174419,170311,3208,900
11,Gujarat,825490,815262,10082,146
12,Haryana,770557,760243,9683,631
13,Himachal Pradesh,214504,209260,3611,1633
14,Jammu and Kashmir,325940,320208,4410,1322
15,Jharkhand,347957,342692,5133,132
16,Karnataka,2955164,2900228,37409,17527
17,Kerala,4207838,3937996,21496,248346
18,Ladakh,20583,20319,207,57
19,Lakshadweep,10348,10285,51,12
20,Madhya Pradesh,792259,781621,10516,122
21,Maharashtra,6486174,6294767,137774,53633
22,Manipur,115399,110341,1798,3260
23,Meghalaya,77021,73458,1329,2234
24,Mizoram,64228,53466,224,10538
25,Nagaland,30356,28994,626,736
26,Odisha,1011558,997063,8047,6448
27,Puducherry,124152,121374,1817,961
28,Punjab,600813,584033,16439,341
29,Rajasthan,954129,945093,8954,82
30,Sikkim,30242,28902,373,967
31,Tamil Nadu,2622678,2571378,35018,16282
32,Telangana,659543,650114,3884,5545
33,Tripura,83305,81786,803,716
34,Uttarakhand,343100,335323,7388,389
35,Uttar Pradesh,1709445,1686354,22856,235
36,West Bengal,1552071,1524917,18502,8652
