ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10729,10595,129,5
2,Andhra Pradesh,2338753,2323871,14733,149
3,Arunachal Pradesh,66872,66569,296,7
4,Assam,745933,735201,8035,2697
5,Bihar,851002,838526,12302,174
6,Chandigarh,99282,98076,1181,25
7,Chhattisgarh,1177297,1162829,14140,328
8,Dadra and Nagar Haveli and Daman and Diu,11588,11583,4,1
9,Delhi,2005329,1978347,26506,476
10,Goa,258556,254480,3967,109
11,Gujarat,1276307,1264708,11038,561
12,Haryana,1055772,1044813,10710,249
13,Himachal Pradesh,312413,308146,4211,56
14,Jammu and Kashmir,479256,474446,4785,25
15,Jharkhand,442508,437108,5331,69
16,Karnataka,4067390,4024171,40295,2924
17,Kerala,6818714,6743052,71339,4323
18,Ladakh,29379,29138,231,10
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1054627,1043734,10775,118
21,Maharashtra,8129105,7978077,148378,2650
22,Manipur,139861,137684,2149,28
23,Meghalaya,96747,95094,1623,30
24,Mizoram,238722,237949,723,50
25,Nagaland,35971,35188,781,2
26,Odisha,1335694,1325958,9202,534
27,Puducherry,175157,173020,1974,163
28,Punjab,782426,764382,17920,124
29,Rajasthan,1313977,1303983,9644,350
30,Sikkim,44264,43746,498,20
31,Tamil Nadu,3590016,3548276,38048,3692
32,Telangana,839412,834752,4111,549
33,Tripura,107966,106948,939,79
34,Uttarakhand,449082,441255,7751,76
35,Uttar Pradesh,2127103,2103102,23626,375
36,West Bengal,2117419,2094476,21526,1417
