date,total_cases,preds_cases,preds_cases_3,preds_cases_7
20200425,24506,27692,26774,30794
20200426,26496,26779,28225,30379
20200427,27892,28816,30959,32931
20200428,29435,33631,31826,34262
20200429,31332,33922,33558,36058
20200430,33050,37573,36570,38732
20200501,34972,37910,38507,41997
20200502,37671,38111,39746,42064
20200503,40124,44724,41959,43664
20200504,42533,42005,45877,47484
20200505,46433,47260,46328,48279
20200506,49391,50715,48991,50471
20200507,52952,54532,50610,52568
20200508,56342,61200,57544,55158
20200509,59662,62495,60916,58641
20200510,62939,69111,63414,57503
20200511,67152,67770,65613,62078
20200512,70756,69779,70743,68393
20200513,74281,78713,73832,70342
20200514,78003,83859,74872,77004
20200515,81970,83841,82270,77640
20200516,85710,90837,85659,85787
20200517,90637,94166,89552,88976
20200518,95759,99748,101289,90743
20200519,100325,109860,101304,102863
20200520,105654,113541,109481,104580
20200521,110956,119261,116010,108445
20200522,116827,117543,118927,119819
20200523,123202,125734,129651,125158
20200524,129530,132693,127618,131134
20200525,136203,140093,137330,137895
20200526,142410,149020,150774,142009
20200527,147754,153127,150434,154648
20200528,154001,164131,160787,158852
20200529,161126,164532,164380,166485
