date,total_cases,preds_cases,preds_cases_3,preds_cases_7
20200425,[],[],[],[]
20200426,[],[],[],[]
20200427,[],[],[],[]
20200428,[],[],[],[]
20200429,[],[],[],[]
20200430,[],[],[],[]
20200501,[],[],[],[]
20200502,[],[],[],[]
20200503,[],[],[],[]
20200504,[],[],[],[]
20200505,[],[],[],[]
20200506,[],[],[],[]
20200507,[],[],[],[]
20200508,[],[],[],[]
20200509,[],[],[],[]
20200510,[],[2],[],[]
20200511,[],[2],[],[]
20200512,[],[2],[2],[]
20200513,[],[2],[2],[]
20200514,[],[2],[2],[]
20200515,[],[2],[2],[]
20200516,[],[2],[2],[2]
20200517,[],[2],[2],[2]
20200518,[],[2],[2],[2]
20200519,[],[2],[2],[2]
20200520,[],[2],[2],[2]
20200521,[],[2],[2],[2]
20200522,[],[2],[2],[2]
20200523,[],[2],[2],[2]
20200524,[],[2],[2],[2]
20200525,[],[3],[2],[2]
20200526,[],[3],[2],[2]
20200527,[],[3],[3],[2]
20200528,[],[3],[3],[2]
20200529,[],[3],[3],[2]
20200530,[],[3],[3],[2]
20200531,[],[3],[3],[3]
