date,total_cases,preds_cases,preds_cases_3,preds_cases_7
20200425,1852,[2038],[2078],[2805]
20200426,2096,[2023],[2099],[2719]
20200427,2096,[2259],[2278],[2682]
20200428,2168,[2526],[2404],[2734]
20200429,2387,[2497],[2632],[2799]
20200430,2561,[2861],[2747],[2881]
20200501,2719,[2937],[2835],[3091]
20200502,2719,[2962],[3027],[3178]
20200503,2846,[3227],[3250],[3422]
20200504,2846,[2985],[3566],[3567]
20200505,2942,[3161],[3343],[3555]
20200506,3049,[3212],[3481],[3844]
20200507,3138,[3411],[3385],[4072]
20200508,3252,[3626],[3645],[4287]
20200509,3341,[3676],[3812],[4231]
20200510,3614,[3869],[3757],[4087]
20200511,3614,[3891],[3861],[4153]
20200512,3785,[4006],[3961],[4333]
20200513,3986,[4210],[4239],[4401]
20200514,4173,[4496],[4298],[4563]
20200515,4426,[4498],[4400],[4569]
20200516,4595,[4904],[4592],[4803]
20200517,4789,[5047],[4805],[5108]
20200518,4977,[5270],[5468],[5210]
20200519,5236,[5709],[5430],[5502]
20200520,5465,[5925],[5784],[5607]
20200521,5735,[6168],[6029],[5819]
20200522,5981,[6075],[6206],[6469]
20200523,6170,[6436],[6706],[6709]
20200524,6371,[6645],[6595],[6928]
20200525,6665,[6890],[7030],[7166]
20200526,6859,[7291],[7550],[7411]
20200527,7024,[7374],[7399],[7999]
20200528,7261,[7802],[7867],[8210]
20200529,7453,[7757],[7917],[8523]
20200530,7645,[8057],[8014],[9219]
20200531,7891,[8471],[8389],[8797]
