date,total_cases,preds_cases,preds_cases_3,preds_cases_7
20200425,0,[],[],[0]
20200426,0,[],[],[0]
20200427,0,[],[],[0]
20200428,0,[],[],[0]
20200429,0,[],[],[]
20200430,0,[],[],[]
20200501,0,[],[],[]
20200502,0,[],[],[]
20200503,0,[],[],[]
20200504,0,[],[],[]
20200505,0,[],[],[]
20200506,0,[],[],[]
20200507,0,[],[],[]
20200508,0,[],[],[]
20200509,0,[],[],[]
20200510,0,[],[],[]
20200511,0,[],[],[]
20200512,0,[],[],[]
20200513,0,[],[],[]
20200514,0,[],[],[]
20200515,0,[],[],[]
20200516,0,[],[],[]
20200517,0,[],[],[]
20200518,0,[],[],[]
20200519,0,[],[],[]
20200520,0,[],[],[]
20200521,0,[],[],[]
20200522,0,[],[],[]
20200523,0,[],[],[]
20200524,0,[],[],[]
20200525,0,[],[],[]
20200526,3,[],[],[]
20200527,4,[4],[],[]
20200528,4,[5],[],[]
20200529,18,[5],[4],[]
20200530,25,[20],[5],[]
20200531,36,[28],[5],[]
