date,total_cases,preds_cases,preds_cases_3,preds_cases_7
20200425,[],[],[],[]
20200426,[],[],[],[]
20200427,[],[],[],[]
20200428,[],[],[],[]
20200429,[],[],[],[]
20200430,[],[],[],[]
20200501,[],[],[],[]
20200502,[],[],[],[]
20200503,[],[],[],[]
20200504,[],[],[],[]
20200505,[],[],[],[]
20200506,[],[],[],[]
20200507,[],[],[],[]
20200508,[],[],[],[]
20200509,[],[],[],[]
20200510,[],[],[],[]
20200511,[],[],[],[]
20200512,[],[],[],[]
20200513,[],[],[],[]
20200514,[],[],[],[]
20200515,[],[],[],[]
20200516,[],[],[],[]
20200517,[],[],[],[]
20200518,[],[],[],[]
20200519,[],[],[],[]
20200520,[],[],[],[]
20200521,[],[],[],[]
20200522,[],[],[],[]
20200523,[],[],[],[]
20200524,[1],[],[],[]
20200525,[1],[2],[],[]
20200526,[1],[2],[],[]
20200527,[1],[2],[2],[]
20200528,[1],[2],[2],[]
20200529,[1],[2],[2],[]
20200530,[1],[2],[2],[]
20200531,[1],[2],[2],[2]
