date,total_cases,preds_cases,preds_cases_3,preds_cases_7
20200425,[],[1152],[1243],[1640]
20200426,[],[1075],[1247],[1564]
20200427,[],[1092],[1288],[1609]
20200428,[],[1208],[1278],[1608]
20200429,[],[1157],[1271],[1674]
20200430,[],[1204],[1314],[1711]
20200501,[],[1161],[1313],[1747]
20200502,[],[1132],[1274],[1689]
20200503,[],[1255],[1285],[1657]
20200504,[],[1115],[1363],[1706]
20200505,[],[1202],[1300],[1647]
20200506,[],[1185],[1301],[1617]
20200507,[],[1243],[1288],[1610]
20200508,[],[1280],[1345],[1639]
20200509,[],[1290],[1390],[1645]
20200510,[],[1313],[1326],[1527]
20200511,[],[1252],[1355],[1579]
20200512,[],[1290],[1344],[1598]
20200513,[],[1419],[1365],[1604]
20200514,[],[1501],[1384],[1610]
20200515,[],[1497],[1483],[1604]
20200516,[],[1567],[1533],[1629]
20200517,[],[1598],[1599],[1644]
20200518,[],[1661],[1748],[1677]
20200519,[],[1780],[1719],[1854]
20200520,[],[1808],[1823],[1871]
20200521,[],[1845],[1880],[1936]
20200522,[],[1760],[1894],[2067]
20200523,[],[1829],[2005],[2124]
20200524,[],[1897],[1911],[2184]
20200525,[],[1961],[1998],[2234]
20200526,[],[2029],[2155],[2261]
20200527,[],[2065],[2106],[2392]
20200528,[],[2212],[2189],[2378]
20200529,[],[2242],[2217],[2421]
20200530,[],[2439],[2272],[2632]
20200531,[],[2688],[2424],[2504]
