date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,955,,,0,,,0
20200426,1061,,,1166,,,21
20200427,1097,,,1232,,,46
20200428,1183,,,1330,,,22
20200429,1259,,,1366,,,56
20200430,1332,,,1472,,,46
20200501,1463,,,1628,,,40
20200502,1525,,,1639,,,36
20200503,1583,,,1739,,,68
20200504,1583,,,1867,,,121
20200505,1650,,,1940,,,73
20200506,1717,,,2028,,,72
20200507,1777,,,2118,,,80
20200508,1847,,,2307,,,120
20200509,1887,,,2374,,,125
20200510,1930,,,2246,,,64
20200511,1980,,,2310,,,93
20200512,2018,,,2430,,,108
20200513,2090,,,2473,,,152
20200514,2137,,,2584,,,124
20200515,2205,,,2590,,,108
20200516,2307,,,2713,,,114
20200517,2355,,,2729,,,80
20200518,2407,,,2783,,,98
20200519,2474,,,2934,,,100
20200520,2532,,,2952,,,143
20200521,2602,,,3051,,,135
20200522,2647,,,3223,,,174
20200523,2709,,,3369,,,56
20200524,2757,,,3407,,,121
20200525,2823,,,3466,,,113
20200526,3110,,,3502,,,80
20200527,3171,,,3707,,,203
20200528,3171,,,3725,,,237
20200529,3251,,,3772,,,214
20200530,3436,,,4048,,,426
20200531,3569,,,3807,,,51
20200601,3679,,,3968,,,148
20200602,3783,,,4402,,,297
20200603,3898,,,4746,,,469
20200604,4080,,,4646,,,426
20200605,4223,,,4453,,,32
20200606,4303,,,4760,,,145
20200607,4510,,,5164,,,595
20200608,4708,,,5281,,,276
20200609,4851,,,5690,,,738
20200610,5070,,,5757,,,581
20200611,5269,,,5699,,,35
20200612,5429,,,6140,,,427
20200613,5680,,,6348,,,769
20200614,5965,,,6873,,,714
20200615,6163,,,7196,,,788
20200616,6456,,,7167,,,687
20200617,6841,,,7851,,,1102
20200618,7071,,,8148,,,1096
20200619,7518,,,7626,,,73
20200620,7961,,,8898,,,1261
20200621,8452,,,9122,,,1165
20200622,8999,,,8685,,,85
20200623,9372,,,9120,,,137
20200624,10002,,,10553,,,1231
20200625,10331,,,11140,,,1236
20200626,10884,,,11431,,,1060
20200627,11489,,,12385,,,1494
20200628,12285,,,12682,,,1074
20200629,13241,,,12641,,,228
20200630,13891,,,13469,,,225
20200701,14595,,,15051,,,1256
20200702,15252,,,16067,,,1827
20200703,16097,,,14841,,,380
20200704,16934,,,16693,,,612
20200705,17699,,,18128,,,1246
20200706,18697,,,19666,,,1495
20200707,20019,,,20621,,,1406
20200708,21197,,,21637,,,1454
20200709,22259,,,23230,,,2152
20200710,23814,,,24028,,,1970
20200711,25422,,,25109,,,1988
20200712,27235,,,25145,,,484
20200713,29168,,,25884,,,333
20200714,31103,,,28307,,,759
20200715,33019,,,29051,,,780
20200716,35451,,,30346,,,744
20200717,38044,,,33111,,,142
20200718,40646,,,36169,,,672
