date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,36,44,48,0,3,4,0
20200426,36,40,47,69,1,3,2
20200427,36,40,49,68,2,4,3
20200428,36,44,48,65,6,1,2
20200429,38,42,47,64,4,2,3
20200430,38,46,48,64,5,4,2
20200501,42,44,48,66,4,4,2
20200502,43,47,49,63,1,3,2
20200503,43,52,49,61,7,4,3
20200504,43,46,56,62,1,8,4
20200505,43,49,54,60,3,4,3
20200506,43,48,53,62,3,5,3
20200507,45,50,52,61,5,3,3
20200508,54,53,54,67,6,5,4
20200509,59,56,56,68,9,7,4
20200510,63,69,55,62,12,2,2
20200511,63,69,59,64,1,7,3
20200512,65,71,71,64,7,3,3
20200513,65,73,75,64,6,3,4
20200514,80,75,76,66,6,6,4
20200515,87,74,77,69,7,2,7
20200516,90,97,77,86,8,2,4
20200517,92,100,79,90,4,5,3
20200518,101,102,109,92,5,11,4
20200519,107,117,107,95,12,6,3
20200520,142,122,112,93,10,9,3
20200521,170,161,123,96,15,9,5
20200522,203,181,128,128,3,7,7
20200523,259,219,175,132,2,13,3
20200524,329,280,196,134,5,3,5
20200525,378,356,239,146,6,9,5
20200526,526,414,318,152,12,31,4
20200527,616,566,383,209,5,10,12
20200528,781,685,447,244,32,25,16
20200529,856,835,608,290,3,20,17
20200530,1024,926,703,388,17,20,41
20200531,1185,1135,903,455,57,33,7
20200601,1272,1356,1016,532,124,68,20
20200602,1390,1361,1168,745,10,22,51
20200603,1513,1495,1429,923,17,102,92
20200604,1672,1626,1466,1145,3,17,106
20200605,1988,1881,1645,1173,121,101,9
20200606,2153,2180,1731,1419,24,22,44
20200607,2397,2327,1912,1715,41,56,198
20200608,2565,2609,2335,1827,10,70,96
20200609,2776,2769,2482,2091,44,56,271
20200610,2937,2902,2931,2235,147,264,226
20200611,3092,3131,3033,2336,66,101,15
20200612,3319,3352,3084,2891,33,297,201
20200613,3498,3617,3777,3176,89,580,385
20200614,3718,3733,3758,3653,3,243,380
20200615,4049,3994,4192,3920,2,621,429
20200616,4158,4299,4153,3905,36,191,375
20200617,4319,4515,4565,4549,71,352,639
20200618,4605,4604,4675,4782,9,43,643
20200619,4777,5075,5050,4662,154,534,44
20200620,4904,5171,4970,5480,117,37,777
20200621,4904,5244,5336,5686,20,216,726
20200622,5388,5282,5516,5706,34,34,56
20200623,5586,5782,5786,5874,33,196,88
20200624,5831,5849,5740,6663,34,261,777
20200625,6198,6295,6253,7255,63,20,805
20200626,6321,6531,6932,7264,134,724,674
20200627,6607,6779,7024,7630,130,613,920
20200628,6816,7180,7262,7599,115,267,964
20200629,7206,7167,7281,7569,151,276,137
20200630,7752,7619,7784,8028,177,113,135
20200701,8227,8502,7997,8775,206,105,733
20200702,8582,8837,8965,9639,124,980,1097
20200703,9013,9302,8886,8904,147,131,228
20200704,9673,9681,10394,9600,58,1340,352
20200705,10668,10351,10099,10058,48,169,692
20200706,11388,11423,10559,10703,17,515,814
20200707,12160,12014,11371,11508,305,257,785
20200708,12522,12826,12282,12197,362,54,819
20200709,13336,13482,13541,13071,157,616,1211
20200710,14032,14015,13893,13454,324,131,1103
20200711,14600,14802,14360,14343,437,319,1136
20200712,15536,15672,16450,15156,799,1502,292
20200713,16071,16684,16270,15766,951,161,203
20200714,16806,16905,16942,17194,421,244,462
20200715,17807,17658,18120,17162,474,375,461
20200716,18666,18901,19931,18182,512,2002,447
20200717,19754,19624,19429,19511,387,4,83
20200718,20646,20947,21634,20773,638,1656,386
20200719,22918,22089,21417,21468,199,104,686
20200720,23999,24293,22823,22832,655,232,603
20200721,25382,25162,23802,22897,636,549,565
20200722,25382,26768,28345,24680,607,3231,150
20200723,26772,26924,28069,26401,382,1056,335
20200724,28791,28230,29172,26899,732,91,752
20200725,29921,30305,28895,28052,902,517,1048
20200726,31086,31768,30827,31248,627,423,876
20200727,32228,32808,33013,32956,766,34,365
20200728,33576,34286,33965,35609,681,341,719
20200729,34947,35308,35906,35001,615,904,316
20200730,36295,36995,36949,37145,640,124,153
20200731,38407,38245,38405,40940,676,7,1086
20200801,40269,41339,40025,41571,665,771,304
20200802,41726,42244,41955,43476,1162,1011,804
20200803,42904,43843,43754,44720,1048,1154,273
20200804,45275,44932,46138,46067,1307,408,792
20200805,48161,47794,47478,46873,976,49,1104
20200806,50445,52340,52995,52131,254,6065,2747
20200807,52817,52839,51837,53385,1100,723,1092
20200808,55496,55579,55526,54582,1627,2891,1496
20200809,57714,58276,57653,57313,1571,334,87
20200810,58837,61044,59884,58573,1101,50,166
20200811,61737,61831,63712,61949,1529,530,528
20200812,64406,64783,65507,67135,1720,33,1638
20200813,68999,67653,67006,71493,1490,273,3211
20200814,71795,72796,70238,71648,2569,222,758
20200815,74501,75020,82757,78530,1587,13750,4003
20200816,75558,80075,78267,85689,714,456,9274
20200817,76875,79234,82392,82900,1637,1292,4213
20200818,79667,81682,85324,84940,3369,3703,610
20200819,82201,83602,86505,89918,1959,1491,3622
20200820,84317,86404,87512,97354,2149,570,5452
20200821,86052,88023,91915,99292,2060,2317,1635
20200822,87908,89881,93716,102517,1578,1370,1057
20200823,89468,92703,96766,100283,1416,2417,3631
20200824,90740,93967,97168,103328,3225,176,1569
20200825,92619,96427,108214,108815,1735,13163,660
20200826,94592,98633,101173,108561,2205,75,4315
20200827,96771,100220,101874,114609,1610,1130,466
20200828,98807,101582,104352,117929,2231,535,2277
20200829,101367,103541,107104,118293,2881,1639,1092
20200830,103794,107127,109327,118888,2302,101,3390
20200831,105774,109136,111318,122220,1224,587,626
20200901,109040,110915,113876,121587,2407,784,4087
20200902,111724,114658,117964,126441,2781,359,2543
20200903,115279,118168,119161,126404,882,970,4214
20200904,118333,120504,122626,130962,2800,955,2885
20200905,121224,124498,125093,137956,4889,1543,3215
20200906,123922,127040,129742,142581,3374,1482,5030
20200907,125459,130329,134838,144937,4352,1722,4456
20200908,128244,132972,145182,154715,773,12110,13921
20200909,130823,135293,144601,150984,1799,8663,1537
20200910,133066,138165,140130,152080,5584,2552,3645
20200911,135805,138591,145485,154912,3735,4015,1133
20200912,138339,142500,146228,158275,4877,346,6408
20200913,140471,144646,150866,163456,4734,2902,4052
20200914,141763,146889,152102,174078,4821,570,11013
20200915,144166,149168,155680,164078,3506,1287,9802
20200916,146575,150890,157098,169937,4037,1153,5939
20200917,148969,154207,159277,170624,2572,1832,8893
20200918,150349,157546,161087,175850,734,831,6982
20200919,152858,157698,163254,195302,5315,602,16946
20200920,155453,160556,164446,192956,5471,2282,12260
20200921,156680,164440,171123,184002,2000,3880,4827
20200922,159320,168611,170903,188132,2811,128,3413
20200923,161393,167817,171848,186105,5533,2012,11883
20200924,163491,169238,172618,201830,4043,624,6524
20200925,165582,171923,178274,196683,2851,1763,2293
20200926,167374,173387,180884,204764,5916,1537,6800
20200927,169110,176497,182410,218597,4508,1738,18432
20200928,169985,178586,183949,202092,4020,830,5772
20200929,173629,178646,187611,206258,3348,2533,3779
20200930,177221,182268,190677,211409,6543,4554,225
20201001,180811,185492,189885,224461,3667,1896,14385
20201002,182396,189004,193724,217180,5023,953,3663
20201003,183812,190511,197026,212710,5142,1732,10894
20201004,185444,191767,200759,216890,5254,300,7287
20201005,186200,195871,225714,215474,2895,31277,10876
20201006,187718,197661,205864,238265,3446,3099,14363
20201007,188902,197364,208827,228441,3630,7006,6602
20201008,190209,199540,211393,234001,2823,10430,1733
20201009,191397,198583,208000,242780,5735,2814,7142
20201010,192416,200922,207966,241297,6374,1369,1953
20201011,193387,203455,210212,231816,1131,760,14271
20201012,193783,202688,211891,230013,5184,453,15904
20201013,195304,209472,211766,230427,1069,2089,16012
20201014,196786,206036,220582,240233,2377,11421,6420
20201015,198213,206455,214894,235852,7910,5333,13600
20201016,198982,208871,214379,244705,4853,925,3598
20201017,199749,209683,216583,240670,3627,119,9463
20201018,200391,209322,223790,241652,6282,9192,12180
20201019,200709,208148,218082,246088,5155,2806,4534
20201020,201407,210549,223058,264785,5181,2846,20674
20201021,202073,210646,227338,244088,5036,8576,16231
20201022,202774,212270,220632,269168,4990,426,21678
20201023,203282,211712,226964,255834,3035,10389,2195
20201024,203709,213320,227161,244418,6831,8561,14446
20201025,203967,212864,223155,253944,5126,4166,5329
20201026,204171,211190,225214,249133,4592,3607,12901
20201027,204386,218207,222376,245224,4245,710,15435
20201028,204789,209957,225632,275890,1961,2533,22254
20201029,205237,211028,225279,245613,2441,8208,19706
20201030,205635,213727,223648,248768,4612,790,12919
20201031,206015,211561,222996,252371,1582,1889,8481
20201101,206351,210183,222748,254543,162,1980,4672
20201102,206517,211422,223807,262497,645,1809,3383
20201103,206982,210665,225777,259656,343,133,1285
20201104,207361,216792,225263,258581,4566,1182,377
20201105,207741,217564,225156,258330,2969,536,695
20201106,208054,219201,231212,259026,5399,13139,463
20201107,208389,218572,225478,258675,4968,1993,471
20201108,208637,217971,226973,259527,3133,1984,2716
20201109,208789,217869,227249,258674,5254,2700,2094
20201110,209117,218063,228795,253531,5115,5454,9822
20201111,209388,217302,229143,252027,4516,2963,10256
20201112,209633,222011,226678,251451,12056,2014,11148
20201113,209835,214980,230470,258546,990,6603,7604
20201114,210068,217606,229025,253010,3768,2137,11234
20201115,210175,218552,227125,265397,4673,593,21165
20201116,210268,215845,226162,255549,3248,1374,8755
20201117,210454,216847,227165,254813,1607,1610,11315
20201118,210696,218268,227190,255969,1740,140,2062
20201119,210865,219907,227423,260740,2454,546,655
20201120,211040,221495,225972,257806,3850,192,3399
20201121,211204,216351,225459,256543,2045,659,4681
20201122,211427,216833,228620,248211,45,698,10873
20201123,211513,217666,228282,260015,1388,281,1413
20201124,211682,225827,227988,260184,2547,1249,218
20201125,211839,218477,227036,260300,2564,1244,2007
20201126,212021,216637,226374,260028,2207,1775,1016
20201127,212171,221134,227871,258825,3530,1034,2554
20201128,212320,218050,228921,259282,1714,1759,442
20201129,212483,228204,228000,260119,8019,255,918
20201130,212617,217634,227571,257587,927,346,1092
20201201,212776,216319,230832,259768,193,4303,470
20201202,212998,216607,228164,259936,1263,1368,855
20201203,213171,218429,228216,259235,732,138,256
20201204,213336,218135,229607,259084,1123,338,664
20201205,213505,224884,229088,258386,5149,1166,1068
20201206,213662,226031,231832,258151,3637,2832,864
20201207,213759,218062,228998,259854,553,671,870
20201208,213925,217221,228886,257293,377,401,61
20201209,214019,219179,229054,257406,30,329,1279
20201210,214165,217798,229276,268071,551,70,13687
20201211,214305,219271,229598,256815,1204,726,640
20201212,214432,218105,229108,257540,350,143,544
20201213,214584,222894,229125,259122,2197,517,315
20201214,214657,219018,229029,258699,1486,39,32
20201215,214803,223155,229651,260611,3495,826,4
20201216,214945,219130,229338,259074,677,778,1355
20201217,215042,219106,230020,257324,750,1147,3035
20201218,215148,224938,229880,258608,495,244,1111
20201219,215250,222203,229880,257474,5312,1774,625
20201220,215346,224422,230144,258471,8382,101,761
20201221,215409,219061,229272,258915,394,208,1036
20201222,215510,220305,229980,258381,1647,556,1821
20201223,215585,219327,229752,257761,798,1322,1027
20201224,215680,222503,230603,258712,5272,365,425
20201225,215775,224801,230159,258525,4776,509,1515
20201226,215836,219442,230456,257748,781,1799,500
20201227,215910,221386,230317,257293,310,147,416
20201228,215939,222307,230583,256500,3998,657,536
20201229,215997,224078,231055,257278,6106,1637,1283
20201230,216063,220300,230319,257950,1739,684,594
20201231,216139,225880,229403,257813,7417,538,1222
20210101,216211,220534,230054,256978,597,261,183
20210102,216251,220992,230058,258384,965,1508,4180
20210103,216289,220193,230361,256211,813,539,1927
