date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,27,33,37,0,3,3,0
20200426,28,30,36,45,0,2,1
20200427,30,32,37,51,2,3,2
20200428,40,37,36,49,5,1,1
20200429,56,47,37,50,4,3,3
20200430,56,68,40,50,8,4,2
20200501,56,65,53,50,6,4,1
20200502,88,62,72,47,2,5,1
20200503,94,105,72,47,13,5,2
20200504,94,97,74,52,4,10,4
20200505,102,105,109,67,5,7,3
20200506,111,112,113,91,6,12,4
20200507,120,122,113,90,15,6,4
20200508,135,140,127,89,15,12,5
20200509,150,145,136,138,19,17,8
20200510,169,175,145,133,29,5,6
20200511,169,183,152,138,1,15,6
20200512,174,188,179,151,18,6,7
20200513,187,194,199,157,15,5,13
20200514,187,211,202,175,15,14,9
20200515,191,212,203,179,18,4,12
20200516,191,212,215,216,16,11,10
20200517,191,211,226,239,9,14,8
20200518,191,211,237,245,10,24,9
20200519,196,220,227,254,22,12,9
20200520,200,223,232,263,17,19,18
20200521,202,227,232,274,21,17,12
20200522,217,214,233,280,3,12,16
20200523,218,234,246,280,2,18,5
20200524,225,235,233,277,5,4,10
20200525,238,244,256,276,5,10,9
20200526,238,261,267,278,8,26,7
20200527,266,257,262,294,3,7,17
20200528,279,296,282,290,15,15,19
20200529,288,299,275,310,1,9,18
20200530,289,312,304,326,6,9,34
20200531,289,321,323,311,17,12,5
20200601,293,331,342,335,30,23,13
20200602,294,314,330,337,3,6,23
20200603,301,317,349,399,4,25,39
20200604,301,324,338,410,1,5,38
20200605,301,339,348,395,22,22,3
20200606,304,331,345,401,4,5,13
20200607,309,329,345,419,6,10,49
20200608,314,337,354,421,2,10,23
20200609,317,340,351,443,5,8,58
20200610,323,356,378,445,18,34,46
20200611,327,345,372,421,8,13,3
20200612,332,355,378,439,4,37,31
20200613,334,362,416,449,9,64,55
20200614,345,357,398,472,0,26,49
20200615,352,371,420,480,0,63,53
20200616,354,374,397,479,3,19,46
20200617,358,385,424,501,6,33,71
20200618,368,383,407,506,1,4,68
20200619,374,406,430,467,13,46,5
20200620,381,406,413,524,10,4,75
20200621,404,408,427,528,2,17,68
20200622,406,423,432,497,20,3,5
20200623,411,436,450,501,3,16,8
20200624,418,431,460,553,3,3,65
20200625,420,452,472,581,5,2,65
20200626,423,443,511,569,9,54,53
20200627,425,460,504,594,9,44,72
20200628,428,463,493,607,8,18,53
20200629,429,451,494,571,10,19,10
20200630,435,454,501,591,10,8,10
20200701,440,478,503,630,13,7,54
20200702,446,473,534,654,8,58,75
20200703,450,484,499,604,8,8,16
20200704,457,484,557,618,3,72,23
20200705,460,490,526,632,3,10,44
20200706,466,493,528,638,1,27,49
20200707,489,492,538,646,13,13,44
20200708,494,517,530,653,15,3,44
20200709,513,533,555,680,7,25,63
20200710,523,540,559,672,13,6,56
20200711,539,553,567,678,17,13,54
20200712,555,579,633,654,30,58,13
20200713,559,596,607,646,34,6,8
20200714,588,589,626,692,15,9,19
