date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,2514,2849,2886,0,201,194,0
20200426,2625,2745,2964,3658,26,134,67
20200427,2918,2871,3186,3818,146,236,140
20200428,3108,3516,3263,3831,485,59,62
20200429,3314,3580,3344,3888,258,186,157
20200430,3439,3972,3824,4068,429,302,125
20200501,3515,3943,4064,4322,350,296,107
20200502,3738,3828,4202,4313,62,257,94
20200503,4122,4436,4364,4355,519,300,160
20200504,4549,4323,4609,4965,70,621,320
20200505,4898,5052,4595,5096,237,271,191
20200506,5104,5348,5042,5336,267,418,188
20200507,5532,5693,5411,5468,577,265,206
20200508,5980,6392,6068,5542,679,541,287
20200509,6318,6556,6362,5817,748,765,305
20200510,6542,7316,6623,5919,1227,197,158
20200511,6923,7042,6881,6637,40,582,265
20200512,7233,7251,7489,7213,699,229,321
20200513,7639,8044,7672,7345,596,189,453
20200514,7998,8609,7780,8043,586,530,384
20200515,8470,8620,8408,8143,708,161,418
20200516,8895,9384,8794,9082,712,359,380
20200517,9333,9770,9207,9247,406,543,271
20200518,10054,10269,10464,9429,463,1027,330
20200519,10054,11532,10511,10513,1146,522,356
20200520,10554,11376,11271,10738,840,881,618
20200521,11088,11911,12178,11150,1076,883,491
20200522,11659,11745,11916,12379,155,593,665
20200523,12319,12546,12949,12987,47,927,214
20200524,12910,13266,12751,13501,234,179,478
20200525,13418,13961,13703,14476,234,493,470
20200526,14053,14679,15074,14229,404,1435,322
20200527,14465,15108,14992,15446,131,375,846
20200528,15257,16067,15838,15873,742,848,1008
20200529,16281,16298,16219,16613,44,526,942
20200530,17386,17601,16503,18407,315,465,1937
20200531,18549,19264,17627,17825,962,636,236
20200601,19844,21215,19307,18857,1935,1274,701
20200602,20834,21226,19821,19890,148,372,1339
20200603,22132,22395,22358,21646,247,1594,2141
20200604,23645,23778,22852,22353,45,259,2051
20200605,25004,26588,24651,22295,1703,1502,160
20200606,26334,27405,25305,24080,288,322,734
20200607,27654,28452,27031,26836,496,782,3091
20200608,27654,30091,29362,28481,108,868,1488
20200609,29943,29840,30348,31330,465,681,4061
20200610,31309,32726,33802,32683,1653,3039,3296
20200611,32810,33371,32696,33025,693,1084,201
20200612,34687,35563,34790,36348,348,3350,2523
20200613,36824,37794,40251,38844,921,6176,4708
20200614,38958,39294,39867,42138,32,2576,4373
20200615,41182,41846,43806,42263,22,6488,4620
20200616,42829,43719,43715,44044,355,2009,4218
20200617,44688,46495,47822,48482,722,3689,6802
20200618,47102,47632,47544,50732,84,433,6821
20200619,49979,51899,52007,48720,1570,5495,462
20200620,53116,54093,51416,57684,1225,382,8174
20200621,56746,56790,54568,59570,214,2206,7603
20200622,59746,59158,57704,58030,3136,358,567
20200623,62655,64111,62660,60496,367,2125,903
20200624,66602,65600,64224,68935,382,87,8036
20200625,70390,71895,69330,74200,712,211,8230
20200626,73780,74158,77739,75986,1522,8115,7050
20200627,77240,76982,80226,82630,1469,6996,9964
20200628,80188,83936,82465,84862,1344,3033,6808
20200629,83077,84309,82681,83924,1774,3125,1516
20200630,85161,87830,90984,90040,2038,1314,1505
20200701,87360,93387,94075,100219,2261,1228,8366
20200702,89802,93828,103345,109464,1313,11292,12445
20200703,92175,97329,97609,101116,1534,1439,2586
20200704,94695,99002,110361,112218,593,14234,4114
20200705,97200,101323,105675,118323,470,1762,8133
20200706,99444,104067,107978,123387,149,5259,9382
20200707,100823,104903,111309,126417,2665,2514,8621
20200708,102831,106337,111898,129506,2999,481,8695
20200709,104864,110712,118235,136770,1287,5383,12667
20200710,107051,110201,115187,137583,2546,1080,11278
20200711,109140,112919,117918,140404,3335,2620,11118
20200712,110921,117148,129343,138089,5971,11801,2657
20200713,112494,119115,124118,137667,6784,1225,1771
20200714,113740,118330,126641,142560,2942,1818,3820
20200715,115346,119499,129367,140929,3205,2673,3779
20200716,116993,122427,139511,142961,3310,14012,3506
20200717,118645,122997,131484,148843,2420,25,635
20200718,120107,125809,140130,155276,3831,10720,2883
20200719,121582,128497,134235,153270,1159,647,4899
20200720,122793,128874,137076,159814,3470,1394,4216
20200721,123747,128739,138462,154959,3251,3192,3824
20200722,125096,130502,150372,159863,2955,17137,966
20200723,126323,132693,143613,165467,1881,5402,2096
20200724,127364,133201,142224,161553,3450,443,4517
20200725,128389,134058,142405,163186,3988,2546,6095
20200726,129531,136310,145454,165771,2690,1994,4642
20200727,130606,136703,146037,168619,3190,150,1867
20200728,131219,138943,145738,173605,2762,1461,3505
20200729,132275,137984,149614,172503,2401,3764,1555
20200730,133310,140025,149737,175265,2419,500,721
20200731,134403,140471,150090,181104,2483,25,4803
20200801,135598,144662,151492,178375,2328,2915,1301
20200802,136716,142246,154096,181157,3914,3714,3348
20200803,137677,143650,153114,181228,3432,4039,1104
20200804,138482,144182,155361,180032,4191,1372,3092
20200805,139156,146185,155559,177413,2984,160,4180
20200806,140232,151230,170057,191475,733,19463,10089
20200807,141531,146884,158553,186816,3057,2211,3820
20200808,142723,148933,160436,183792,4358,8351,5035
20200809,144127,149871,160268,187785,4039,925,287
20200810,145427,152443,160467,187956,2749,133,532
20200811,146134,152827,163851,189481,3779,1363,1613
20200812,147391,153343,163587,193979,4071,83,4732
20200813,148504,154820,165616,198742,3409,674,8925
20200814,149460,156675,166254,191989,5530,524,2030
20200815,150652,156173,189385,201960,3304,31466,10296
20200816,151928,161923,168451,213985,1444,980,23160
20200817,152580,159318,171519,204903,3293,2690,10413
20200818,153367,162121,172538,201056,6687,7487,1442
20200819,154741,160942,173939,205774,3772,2999,8288
20200820,156139,162652,173691,209531,4045,1130,11732
20200821,157354,163002,176946,206702,3814,4460,3403
20200822,158604,164355,176417,207304,2885,2579,2136
20200823,160016,167255,179190,201643,2555,4475,7299
20200824,161466,168062,177680,205083,5768,322,3114
20200825,162527,171584,195241,209479,3086,23747,1269
20200826,164071,173080,180949,204362,3869,133,8123
20200827,165764,173833,181277,212234,2792,2009,862
20200828,167604,174004,183116,215644,3823,937,4164
20200829,169412,175633,185772,213425,4886,2842,1970
20200830,171366,179038,187271,212634,3848,173,6063
20200831,173390,180186,188826,217483,2021,996,1111
20200901,174748,181817,190318,213359,3946,1309,7172
20200902,177060,183752,194760,219312,4456,592,4409
20200903,179569,187271,195333,216523,1398,1590,7218
20200904,182306,187708,196521,222147,4361,1530,4892
20200905,185220,191804,198248,230562,7532,2446,5372
20200906,188193,194106,202098,235403,5155,2308,8305
20200907,191449,197923,207733,237587,6608,2652,7304
20200908,193526,202913,221825,247947,1179,18502,22308
20200909,197135,204164,219597,239278,2715,13156,2436
20200910,201174,208199,213837,236893,8414,3893,5677
20200911,205482,209527,219543,238660,5648,6060,1746
20200912,209748,215611,220348,241831,7380,522,9792
20200913,214069,219311,228084,248231,7178,4387,6154
20200914,218304,223849,230139,265641,7347,862,16806
20200915,221533,229707,236040,247601,5400,1951,14792
20200916,225796,231866,239408,256074,6203,1758,8950
20200917,230269,237553,245274,257955,3961,2820,13444
20200918,234701,243527,247535,266071,1134,1276,10563
20200919,238828,246173,251489,296115,8296,927,25693
20200920,242899,250854,254192,294052,8548,3528,18683
20200921,246711,256942,267129,283348,3125,6058,7431
20200922,249259,265497,267021,289094,4426,198,5244
20200923,253075,262553,268516,286690,8656,3143,18305
20200924,256789,265376,271808,311978,6339,983,10084
20200925,260623,270032,278913,307030,4477,2758,3579
20200926,264450,272908,283637,319927,9312,2410,10624
20200927,267822,278863,286503,341563,7122,2730,28800
20200928,271114,282829,289531,318218,6367,1306,9088
20200929,273098,284928,296424,322694,5340,4002,5913
20200930,276325,286685,301978,331503,10290,7212,353
20201001,279715,289221,302853,352552,5716,3025,22594
20201002,282752,292389,304704,341836,7769,1499,5765
20201003,285672,295331,307204,336080,7970,2701,17211
20201004,287930,298035,310574,343492,8165,464,11540
20201005,290613,304119,349903,343666,4496,48485,17347
20201006,292560,308500,319944,374762,5377,4817,22591
20201007,295236,307592,324234,356188,5657,10877,10295
20201008,298107,311862,329932,362000,4411,16278,2680
20201009,300833,311231,324169,376359,8988,4385,11070
20201010,303693,315804,325031,375012,10018,2141,3035
20201011,306559,321115,329457,359930,1785,1191,22158
20201012,309339,321302,333045,358994,8217,711,24822
20201013,311188,334382,334233,359121,1706,3297,24954
20201014,314224,328287,349667,375461,3788,18104,10033
20201015,317548,329663,343039,369641,12631,8513,21316
20201016,321031,334622,341581,384621,7774,1473,5655
20201017,324459,338295,345835,379853,5852,189,14936
20201018,327718,340009,358523,383068,10204,14725,19307
20201019,331017,340403,351846,392834,8430,4527,7238
20201020,333171,347245,362320,421895,8544,4622,32940
20201021,336750,348454,371787,389755,8330,14025,25917
20201022,340436,353743,363875,431222,8315,703,34728
20201023,344318,355442,375448,412754,5097,17186,3542
20201024,348404,361320,378558,397015,11570,14266,23465
20201025,352520,364061,374653,415299,8767,6994,8716
