date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,7,9,10,0,1,1,0
20200426,7,8,10,14,0,1,0
20200427,7,9,10,14,1,1,1
20200428,7,9,10,14,2,1,1
20200429,7,9,10,14,1,1,1
20200430,7,9,10,14,1,1,1
20200501,7,9,10,13,1,1,0
20200502,7,8,10,13,0,1,1
20200503,7,9,10,13,1,1,1
20200504,7,8,10,13,0,2,1
20200505,7,9,10,12,1,1,1
20200506,7,9,10,12,1,1,1
20200507,7,9,9,12,1,1,1
20200508,7,9,10,12,1,1,1
20200509,7,9,10,12,1,2,1
20200510,7,9,9,11,2,1,1
20200511,7,8,9,11,0,1,1
20200512,7,9,9,11,1,0,1
20200513,7,9,9,11,1,0,1
20200514,7,9,9,11,1,1,1
20200515,14,9,9,11,1,1,1
20200516,15,16,9,11,2,0,1
20200517,17,18,10,11,1,1,1
20200518,29,20,18,11,1,2,1
20200519,38,34,19,11,4,2,1
20200520,46,44,21,11,4,2,1
20200521,50,53,36,11,5,3,1
20200522,52,54,46,22,1,3,1
20200523,54,57,57,23,1,5,1
20200524,55,59,58,25,1,2,1
20200525,66,60,62,43,2,3,2
20200526,67,73,67,55,3,7,2
20200527,67,73,64,68,1,2,4
20200528,68,75,78,72,4,5,5
20200529,69,73,78,75,0,3,5
20200530,69,75,77,81,2,3,9
20200531,70,77,79,77,5,3,1
20200601,70,81,83,94,8,5,4
20200602,71,76,79,96,1,2,7
20200603,79,77,85,101,1,6,10
20200604,79,85,81,101,0,2,10
20200605,166,89,85,95,6,5,0
20200606,196,183,91,96,3,2,3
20200607,267,213,91,102,4,3,12
20200608,300,291,195,101,2,6,6
20200609,330,325,227,107,5,5,15
20200610,359,340,327,117,17,30,12
20200611,387,384,356,111,8,13,1
20200612,417,420,362,242,5,35,17
20200613,463,455,462,290,12,71,35
20200614,523,495,471,407,1,31,43
20200615,564,562,527,459,0,78,50
20200616,592,600,550,457,5,26,44
20200617,629,643,643,557,10,51,79
20200618,656,671,652,599,2,7,81
20200619,705,724,720,586,22,76,6
20200620,725,764,724,726,18,6,103
20200621,754,776,761,800,3,31,102
20200622,754,797,815,796,27,5,8
20200623,864,810,856,837,5,29,13
20200624,909,905,866,971,6,15,114
20200625,951,982,876,1034,10,3,115
20200626,995,1003,1073,1073,21,113,100
20200627,1039,1041,1096,1128,20,96,136
20200628,1128,1130,1115,1144,18,42,114
20200629,1198,1187,1118,1060,25,42,20
20200630,1198,1267,1225,1242,30,18,22
20200701,1315,1315,1324,1369,32,17,114
20200702,1387,1413,1491,1480,20,163,168
20200703,1482,1504,1374,1367,24,21,35
20200704,1482,1593,1662,1510,10,215,56
20200705,1684,1586,1633,1665,8,28,115
20200706,1761,1804,1737,1780,3,85,136
20200707,1813,1859,1743,1779,48,39,122
20200708,1903,1913,1939,1950,54,9,131
20200709,2039,2049,2095,2113,25,96,196
20200710,2151,2143,2072,2213,50,20,182
20200711,2251,2270,2183,2198,68,49,174
20200712,2368,2417,2516,2393,124,230,46
20200713,2453,2544,2495,2439,145,25,32
20200714,2583,2581,2613,2564,65,38,70
20200715,2753,2715,2763,2609,73,58,71
20200716,2951,2923,3043,2780,79,306,68
20200717,3108,3103,2987,2991,61,1,13
20200718,3304,3296,3345,3203,101,256,60
20200719,3484,3536,3387,3273,32,17,104
20200720,3657,3694,3591,3485,100,37,92
20200721,3853,3835,3809,3520,97,88,87
20200722,4027,4064,4310,3816,92,492,23
20200723,4176,4272,4278,4175,61,161,54
20200724,4350,4404,4429,4233,114,15,119
20200725,4540,4579,4585,4490,136,83,168
20200726,4686,4821,4809,4751,95,66,133
20200727,4861,4946,4989,5023,116,5,56
20200728,5119,5172,5154,5406,103,52,109
20200729,5287,5384,5413,5554,95,136,51
20200730,5489,5598,5574,5795,97,20,24
20200731,5704,5785,5856,6186,103,1,165
20200801,5913,6140,6056,6308,99,117,47
20200802,6193,6204,6345,6555,171,153,121
20200803,6530,6508,6499,6746,155,172,42
20200804,6816,6839,6776,7024,200,61,121
20200805,7075,7196,7047,7092,147,8,168
20200806,7423,7690,8067,7885,38,923,416
20200807,7614,7776,7804,7929,162,109,162
20200808,7947,8013,8158,8015,235,425,220
20200809,8206,8345,8484,8507,225,50,13
20200810,8712,8680,8633,8915,157,8,26
20200811,9029,9156,9124,9327,227,77,80
20200812,9444,9475,9315,9863,252,5,241
20200813,9924,9921,9922,10521,219,41,473
20200814,10494,10471,10273,10329,370,32,109
20200815,10970,10966,12136,11246,232,2016,573
20200816,11339,11791,11258,12184,105,66,1319
20200817,11639,11891,12044,12275,247,189,624
20200818,11994,12368,12565,12423,510,546,90
20200819,12333,12587,12982,13186,295,224,532
20200820,12675,12964,13250,14003,323,87,785
20200821,13099,13233,13839,14514,310,349,240
20200822,13484,13682,14061,15096,241,206,156
20200823,13790,14220,14547,15050,218,364,545
20200824,13999,14484,14792,15645,498,27,237
20200825,14138,14877,16600,16383,268,2019,99
20200826,14530,15056,15595,16289,337,13,648
20200827,15027,15395,15717,17230,248,174,71
20200828,15483,15774,15930,17952,347,82,347
20200829,16006,16225,16452,18146,452,252,168
20200830,16553,16916,16977,18325,364,16,522
20200831,17004,17405,17444,18856,196,92,97
20200901,17418,17831,17982,18560,388,124,624
20200902,18006,18316,18814,19423,445,58,391
20200903,18642,19045,19157,19629,143,157,655
20200904,19355,19487,19589,20522,453,153,453
20200905,19863,20364,20161,21784,800,249,508
