date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,2815,3146,2915,0,223,196,0
20200426,3071,3074,3173,2659,29,144,49
20200427,3301,3332,3518,3322,209,261,122
20200428,3548,3977,3653,3570,548,66,58
20200429,3744,4086,3881,3928,295,279,159
20200430,4082,4487,4325,4355,485,341,134
20200501,4395,4679,4639,4774,415,337,117
20200502,4721,4786,4747,4829,77,290,105
20200503,5055,5602,5179,5050,656,356,182
20200504,5428,5301,5763,5617,86,776,362
20200505,5804,6028,5803,5817,283,342,218
20200506,6245,6337,6182,6029,316,513,213
20200507,6625,6852,6456,6490,769,316,245
20200508,7012,7654,7190,6929,814,641,359
20200509,7402,7805,7653,7346,830,943,386
20200510,7796,8571,7931,7258,1438,236,193
20200511,8194,8392,8195,7920,47,656,316
20200512,8541,8640,8774,8547,832,268,380
20200513,8903,9499,9143,8838,704,225,664
20200514,9267,10066,9271,9631,683,631,460
20200515,9591,10046,9928,9697,825,190,441
20200516,9931,10626,10281,10641,806,358,444
20200517,10988,10908,10730,11019,454,632,324
20200518,11379,12089,11849,11237,546,1163,394
20200519,11745,13052,11735,12414,1297,582,420
20200520,12140,13290,13270,12553,982,1037,646
20200521,12537,13701,13783,12995,1238,999,572
20200522,12905,13279,13920,14017,176,693,753
20200523,13268,13887,14895,14499,52,1066,239
20200524,13664,14288,14417,15895,251,201,562
20200525,14056,14777,15168,16384,247,544,532
20200526,14460,15377,16236,16623,424,1546,376
20200527,14821,15546,15867,17767,134,396,972
20200528,15195,16462,16591,17947,760,889,1140
20200529,15562,16232,16689,18388,44,541,1043
20200530,15934,16824,16909,19825,301,477,2086
20200531,16343,17655,17555,18866,882,633,249
20200601,16779,18692,18454,19754,1706,1218,734
20200602,17200,17948,18166,20466,126,341,1379
20200603,17617,18490,19699,22179,203,1404,2193
20200604,18100,18927,19322,22262,36,220,2043
20200605,18584,20353,20351,21311,1303,1241,153
20200606,19094,20369,20143,22070,215,256,673
20200607,19592,20629,20692,23645,360,599,2724
20200608,20070,21319,21823,24082,76,645,1259
20200609,20545,21657,22004,25865,338,494,3353
20200610,21014,22699,23948,26016,1147,2154,2623
20200611,21521,22398,23730,25280,465,788,155
20200612,22032,23327,24131,27016,229,2323,1876
20200613,22527,24006,27016,28165,585,4146,3414
20200614,23038,24038,26150,29854,20,1690,3098
20200615,23544,24746,27824,30672,13,4122,3354
20200616,24055,24995,26743,30549,203,1230,2925
20200617,24577,26114,28280,32540,406,2181,4566
20200618,25093,26197,27182,33277,46,247,4474
20200619,25601,27649,29210,30945,837,3087,293
20200620,26141,27708,28278,35288,627,211,5001
20200621,26680,27950,29071,35227,106,1175,4496
20200622,27260,28441,29558,33176,590,183,324
20200623,27825,29252,30838,33978,168,1046,507
20200624,28371,29133,30901,37913,170,957,4419
20200625,28943,30626,31633,39529,303,97,4385
20200626,29520,30493,34524,38923,626,3604,3611
20200627,30095,31654,34175,40667,604,2980,4904
20200628,30709,32704,33908,40885,524,1248,4595
20200629,31320,32288,33997,38292,680,1286,692
20200630,31938,33112,35450,39987,768,512,669
20200701,32557,35024,36028,42692,848,471,3564
20200702,33232,34968,38961,45010,490,4257,5118
20200703,33913,36018,36607,41577,568,540,1064
20200704,34600,36425,41129,43724,218,5305,1604
20200705,35312,37022,39106,45314,172,652,3115
20200706,36037,37807,39728,46517,54,1934,3537
20200707,36772,38016,40671,47410,966,919,3233
20200708,37550,38783,40652,48264,1094,176,3240
20200709,38333,40428,42847,50613,470,1951,4689
20200710,39194,40284,42011,50620,931,394,4150
20200711,40069,41343,43060,51302,1221,957,4063
20200712,40941,43009,47282,50167,2193,4315,966
20200713,41820,43966,45443,49889,2504,449,643
20200714,42722,43990,46494,51995,1094,668,1394
20200715,43637,44886,47750,51462,1205,987,1381
20200716,44552,46317,51864,52260,1253,5209,1282
20200717,45481,46839,49388,54495,922,10,232
20200718,46430,48228,53014,57007,1469,4056,1058
20200719,47390,49674,51118,56572,448,247,1808
20200720,48355,50233,52547,59412,1353,534,1567
20200721,49353,50697,53526,58205,1281,1234,1437
20200722,50379,52048,58612,60479,1179,6680,366
20200723,51399,53439,56554,63012,758,2127,799
20200724,52477,54198,56723,61930,1404,177,1732
20200725,53545,55236,57350,63083,1643,1026,2357
20200726,54626,56849,59184,64614,1122,812,1809
20200727,55822,57651,60171,66401,1345,62,736
20200728,56874,59386,60781,69238,1181,610,1398
20200729,57982,59806,63096,69471,1041,1588,627
20200730,59126,61380,63999,71313,1060,214,294
20200731,60285,62302,65053,74620,1102,12,1980
20200801,61438,64887,66406,74392,1045,1278,543
20200802,62463,64451,68346,76398,1773,1647,1412
20200803,63562,65631,68678,77459,1569,1812,472
20200804,64585,66565,70393,78031,1935,622,1340
20200805,65599,68178,71072,77768,1392,74,1832
20200806,66669,71291,78512,84924,346,8986,4474
20200807,67699,69832,73946,83794,1454,1031,1713
20200808,68768,71240,75631,83275,2086,3937,2281
20200809,69869,72212,76195,85796,1946,440,131
20200810,70965,73900,76757,86775,1333,64,246
20200811,72031,74576,78948,88371,1845,657,752
20200812,73163,75585,79303,91443,2007,40,2231
20200813,74318,76851,80817,94486,1693,329,4243
20200814,75408,78408,81949,91835,2767,259,971
20200815,76480,78796,94008,97311,1667,15619,4961
20200816,77559,82202,84301,103735,733,491,11227
20200817,78680,81332,86538,99988,1681,1357,5082
20200818,79710,83600,87591,99103,3448,3801,711
20200819,80802,83647,88796,102144,1961,1531,4114
20200820,81942,84934,89567,104859,2113,582,5872
20200821,83107,85544,91965,104289,2002,2318,1717
20200822,84311,86805,92121,105241,1524,1347,1084
20200823,85523,88910,94040,102939,1358,2349,3726
20200824,86624,89824,93843,105754,3083,170,1606
20200825,87691,92053,103787,108874,1656,12624,660
20200826,88805,93385,96712,106713,2087,72,4242
20200827,89994,94089,97253,111381,1511,1079,453
20200828,91179,94468,98800,113893,2076,506,2200
20200829,92452,95547,100551,113453,2658,1539,1047
20200830,93734,97705,101671,113646,2101,95,3240
20200831,95009,98559,102724,116677,1106,542,597
