date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,24506,27692,26774,30794,1966,1813,0
20200426,26496,26779,28225,30379,262,1289,562
20200427,27892,28816,30959,32931,1777,2298,1224
20200428,29435,33631,31826,34262,4645,579,569
20200429,31332,33922,33558,36058,2455,2315,1468
20200430,33050,37573,36570,38732,4064,2895,1198
20200501,34972,37910,38507,41997,3370,2808,1039
20200502,37671,38111,39746,42064,623,2435,922
20200503,40124,44724,41959,43664,5246,2895,1722
20200504,42533,42005,45877,47484,766,6190,3072
20200505,46433,47260,46328,48279,2225,2739,1823
20200506,49391,50715,48991,50471,2542,4180,1793
20200507,52952,54532,50610,52568,5947,2487,1994
20200508,56342,61200,57544,55158,6513,5137,2869
20200509,59662,62495,60916,58641,6801,7510,3089
20200510,62939,69111,63414,57503,11599,1899,1599
20200511,67152,67770,65613,62078,383,5387,2490
20200512,70756,69779,70743,68393,6729,2172,3050
20200513,74281,78713,73832,70342,5845,1824,4990
20200514,78003,83859,74872,77004,5751,5109,3690
20200515,81970,83841,82270,77640,6894,1583,3743
20200516,85710,90837,85659,85787,6896,3275,3595
20200517,90637,94166,89552,88976,3926,5287,2626
20200518,95759,99748,101289,90743,4511,9948,3191
20200519,100325,109860,101304,102863,10920,5036,3489
20200520,105654,113541,109481,104580,8398,8567,5739
20200521,110956,119261,116010,108445,10781,8416,4784
20200522,116827,117543,118927,119819,1564,5928,6444
20200523,123202,125734,129651,125158,476,9293,2075
20200524,129530,132693,127618,131134,2343,1794,4648
20200525,136203,140093,137330,137895,2354,4943,4487
20200526,142410,149020,150774,142009,4117,14359,3230
20200527,147754,153127,150434,154648,1331,3766,8474
20200528,154001,164131,160787,158852,7586,8624,10100
20200529,161126,164532,164380,166485,457,5338,9452
20200530,168720,174203,168587,184100,3124,4760,19381
20200531,176652,186964,177936,178862,9345,6430,2375
20200601,184905,202065,191091,191431,18443,12619,7117
20200602,192292,197804,192369,201572,1389,3616,13585
20200603,200492,206724,212940,221126,2284,15191,21877
20200604,209436,215419,212951,225645,412,2430,20714
20200605,219160,235521,227542,220666,15091,13879,1586
20200606,228465,240228,229253,233702,2541,2927,7135
20200607,238023,246857,239445,255592,4315,6938,29447
20200608,247422,259018,257374,265403,935,7623,13880
20200609,257887,267001,263309,289183,4171,5922,37499
20200610,267356,281377,290960,296094,14224,26171,29865
20200611,277648,284984,292552,292539,5924,9719,1794
20200612,289220,300968,299124,318617,2960,28814,22132
20200613,301009,315146,343736,337016,7697,52753,40856
20200614,313486,321217,337388,362706,273,21814,37650
20200615,325452,336742,365271,378143,180,54114,41352
20200616,335407,345526,357354,378687,2821,16442,36275
20200617,345792,364133,384836,414026,5667,29694,58105
20200618,358243,368593,375753,429332,662,3434,57739
20200619,371605,394750,407299,406242,11957,43052,3862
20200620,385783,402210,397873,471541,9119,2968,66831
20200621,401334,412492,415046,479365,1569,16789,61195
20200622,417450,423843,429061,458614,14516,2670,4492
20200623,432200,447970,455119,473787,2579,15451,7083
20200624,448042,452538,460357,533439,2648,8596,62197
20200625,464612,483670,484432,564361,4801,1482,62605
20200626,482278,489504,536273,564992,10055,55996,52424
20200627,500930,508145,539714,600167,9711,47077,72383
20200628,521020,544377,544331,608745,8732,20030,60271
20200629,541033,547818,545760,586403,11535,20644,10608
20200630,559836,572004,590088,621124,13287,8534,10396
20200701,578578,613933,611273,674212,14877,7994,56291
20200702,597809,621441,673043,722542,8713,73555,82157
20200703,619513,647937,641691,667440,10227,9470,17084
20200704,643316,665421,730933,727802,4001,94284,26696
20200705,668536,688367,703499,768824,3207,11744,52858
20200706,692500,715787,725748,803572,1038,35353,61111
20200707,714631,730536,756203,831062,18568,17096,56687
20200708,737399,753737,769651,857728,21268,3323,57598
20200709,762911,793932,823380,910493,9243,37495,84339
20200710,789641,801761,816460,924727,18539,7674,75818
20200711,817500,832952,845607,953869,24616,18806,75542
20200712,846529,877503,941022,949788,44737,85869,18288
20200713,875896,909085,915553,958699,51791,9046,12349
20200714,904573,921358,948609,1010482,22921,13638,27099
20200715,934657,950399,987323,1010618,25506,20416,27116
20200716,967591,992060,1086271,1040098,26841,109114,25517
20200717,1003301,1017270,1045713,1097930,20031,209,4696
20200718,1038553,1063900,1135501,1163095,32409,86876,21603
20200719,1077618,1111123,1110217,1169746,10030,5363,37397
20200720,1118043,1142268,1159179,1244362,30769,11796,32839
20200721,1155191,1172205,1197288,1232407,29622,27611,30422
20200722,1192915,1218272,1332818,1295398,27602,151902,7845
20200723,1238635,1265379,1307629,1368514,17943,49198,17351
20200724,1287945,1306093,1327695,1366164,33842,4149,38212
20200725,1336861,1355656,1357994,1411076,40335,24290,52716
20200726,1385522,1419359,1426241,1469304,28022,19560,41156
20200727,1435453,1462256,1476791,1535320,34141,1526,17019
20200728,1483156,1527101,1517528,1620640,30367,15234,32728
20200729,1531669,1559633,1600353,1645003,27153,40274,14847
20200730,1583792,1621433,1645733,1718542,28023,5507,7085
20200731,1638870,1668883,1696464,1831405,29516,291,48587
20200801,1695988,1763987,1754211,1857369,28408,33760,13562
20200802,1750723,1779158,1830765,1937757,48959,44128,35824
20200803,1803695,1839526,1867042,1991845,43958,49266,12138
20200804,1855745,1888932,1943189,2034904,54923,17172,34958
20200805,1908254,1958983,1992032,2054355,40001,2065,48411
20200806,1964536,2073841,2227920,2274837,10059,254994,119866
20200807,2027074,2057740,2124722,2277994,42840,29649,46582
20200808,2088611,2133100,2200077,2298793,62443,114527,62986
20200809,2153010,2193221,2245244,2404701,59102,12980,3682
20200810,2215074,2277242,2298302,2462414,41074,1910,6971
20200811,2268675,2327799,2397813,2539189,57562,19948,21616
20200812,2329638,2380613,2443732,2660053,63205,1249,64899
20200813,2396637,2447078,2522603,2784222,53900,10270,125038
20200814,2461190,2528519,2581042,2749770,89255,8149,29082
20200815,2526192,2571755,2993396,2955499,54416,497354,150676
20200816,2589682,2715201,2718568,3196588,24214,15820,345974
20200817,2647663,2715662,2824455,3120994,56134,44313,158608
20200818,2702742,2813247,2893193,3121331,116039,125550,22397
20200819,2767273,2836244,2964888,3252449,66474,51113,130999
20200820,2836925,2908768,3014008,3381530,72347,19609,189350
20200821,2905823,2961627,3118273,3403829,69314,78606,56056
20200822,2975701,3035124,3154919,3476176,53291,46127,35818
20200823,3044940,3138021,3255766,3437112,47936,81312,124429
20200824,3106348,3198056,3281197,3558738,109761,5950,54045
20200825,3167323,3301014,3663085,3691605,59389,445556,22378
20200826,3234474,3372982,3443291,3654676,75403,2558,145275
20200827,3310234,3426936,3487497,3856135,55049,38665,15687
20200828,3387500,3474794,3568569,3982267,76351,18278,76910
20200829,3463972,3549790,3662295,4004255,98757,56042,36968
20200830,3542733,3660802,3739740,4046221,78687,3466,115369
20200831,3621245,3725078,3816442,4184031,41788,20141,21393
20200901,3691166,3797267,3891446,4157945,82420,26788,139774
20200902,3769523,3881360,4026386,4323504,94136,12247,86924
20200903,3853406,3986936,4079544,4323873,29760,33216,144151
20200904,3936747,4028058,4151079,4489900,93595,32325,98888
20200905,4023179,4141857,4220611,4714325,162644,52081,109851
20200906,4113811,4216193,4336861,4866610,111960,49532,171697
20200907,4204613,4326503,4485839,4961997,144469,57280,152549
20200908,4280422,4456400,4818285,5237349,25908,401898,471226
20200909,4370128,4515715,4800288,5094127,60065,287599,51860
20200910,4465863,4615408,4696305,5083552,186532,85504,121834
20200911,4562414,4651293,4855885,5153685,125379,134045,37706
20200912,4659984,4787325,4884725,5252837,163879,11571,212685
20200913,4754356,4872447,5063237,5426228,159482,97389,134514
20200914,4846427,4971566,5109900,5834029,163158,19148,369091
20200915,4930236,5099585,5244126,5476472,119885,43353,327177
20200916,5020359,5160207,5317126,5676714,138052,39030,198404
20200917,5118253,5281774,5445183,5726363,88085,62609,298458
20200918,5214677,5412947,5508925,5907719,25219,28406,234550
20200919,5308014,5469583,5591641,6578823,184342,20613,570820
20200920,5400619,5575313,5650010,6530740,190002,78425,414949
20200921,5487580,5712851,5935189,6290430,69493,134588,164987
20200922,5562663,5905441,5934631,6433813,98445,4428,116712
20200923,5646010,5859344,5970192,6374292,193168,69885,407011
20200924,5732518,5920454,6045812,6934434,141436,21854,224155
