date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,454,513,509,0,37,35,0
20200426,494,496,537,660,5,25,12
20200427,523,537,573,668,33,43,25
20200428,546,631,590,678,87,11,11
20200429,565,630,625,686,46,45,28
20200430,581,678,686,737,74,54,23
20200501,614,667,715,778,59,52,20
20200502,639,669,717,780,11,44,17
20200503,666,759,738,814,89,51,29
20200504,701,699,806,891,12,109,58
20200505,726,779,786,896,37,47,34
20200506,741,793,815,911,40,68,33
20200507,775,836,834,925,80,41,35
20200508,793,896,900,969,96,80,51
20200509,823,905,935,995,87,112,53
20200510,836,954,929,957,160,28,26
20200511,861,901,951,1024,5,72,41
20200512,879,927,976,1070,90,30,48
20200513,934,978,981,1079,73,25,59
20200514,971,1052,995,1128,72,68,54
20200515,983,1055,1023,1126,87,20,45
20200516,1013,1090,1075,1184,83,47,50
20200517,1121,1113,1127,1183,47,67,35
20200518,1183,1234,1215,1206,56,120,43
20200519,1289,1358,1198,1279,135,60,44
20200520,1317,1459,1354,1312,108,106,80
20200521,1390,1487,1434,1364,135,104,60
20200522,1449,1473,1528,1437,20,76,77
20200523,1489,1560,1616,1480,6,116,25
20200524,1569,1604,1599,1623,29,23,58
20200525,1621,1697,1704,1704,29,62,56
20200526,1668,1774,1823,1825,49,174,42
20200527,1759,1794,1823,1928,16,46,106
20200528,1921,1954,1914,1991,91,103,127
20200529,2036,2053,1926,2065,5,63,118
20200530,2164,2202,2007,2226,39,57,235
20200531,2341,2399,2220,2167,120,80,29
20200601,2446,2678,2415,2279,245,160,85
20200602,2601,2617,2468,2362,19,46,160
20200603,2718,2797,2822,2633,31,201,261
20200604,2857,2921,2818,2815,5,32,259
20200605,3142,3213,3078,2789,206,189,21
20200606,3324,3445,3108,2998,37,40,92
20200607,3467,3592,3267,3387,63,95,391
20200608,4087,3773,3690,3511,14,109,184
20200609,4285,4411,3831,3912,69,87,507
20200610,4346,4623,4239,4014,234,382,405
20200611,4507,4633,4833,3991,96,161,25
20200612,4574,4886,4915,4568,48,474,317
20200613,4730,4984,5588,4904,122,858,595
20200614,4878,5048,5477,5284,5,354,549
20200615,5041,5240,5777,6247,3,856,683
20200616,5220,5352,5616,6222,44,259,597
20200617,5298,5667,5989,6731,88,462,944
20200618,5406,5647,5821,6970,10,54,937
20200619,5555,5957,6339,6425,180,671,61
20200620,5680,6013,6096,7410,137,46,1051
20200621,5834,6074,6263,7459,24,254,952
20200622,5956,6200,6414,7104,156,40,70
20200623,6088,6392,6701,7374,37,228,110
20200624,6236,6375,6736,8173,38,179,954
20200625,6422,6732,6912,8517,67,22,944
20200626,6549,6766,7555,8446,139,789,784
20200627,6762,7024,7512,8837,135,655,1066
20200628,6966,7349,7524,8910,119,278,962
20200629,7093,7325,7544,8367,154,285,152
20200630,7237,7499,7966,8750,174,116,147
20200701,7497,7937,8173,9384,192,107,784
20200702,7695,8053,8824,9987,113,965,1136
20200703,7849,8340,8296,9226,132,123,237
20200704,8019,8431,9472,9825,51,1222,360
20200705,8246,8581,9056,10280,40,151,707
20200706,8429,8829,9196,10535,13,448,801
20200707,8675,8892,9427,10743,227,213,733
20200708,8931,9150,9494,11115,258,41,746
20200709,9261,9616,10023,11721,112,457,1086
20200710,9501,9733,9912,11716,225,93,961
20200711,9888,10023,10242,11891,297,228,942
20200712,10156,10614,11423,11716,541,1043,226
20200713,10513,10907,11016,11669,621,109,150
20200714,10827,11059,11474,12267,276,165,329
20200715,11173,11376,11845,12240,305,245,329
20200716,11666,11860,13038,12626,321,1310,310
20200717,12156,12266,12517,13211,242,3,56
20200718,12757,12891,13574,14069,393,1039,261
20200719,13198,13649,13386,14034,124,65,449
20200720,13899,13990,14045,14936,377,143,394
20200721,14650,14573,14707,14751,369,340,364
20200722,15258,15451,16324,15486,351,1861,95
20200723,15711,16185,16256,16500,230,611,210
20200724,16429,16567,16838,16553,430,53,464
20200725,16782,17293,17370,17333,515,311,648
20200726,17305,17818,18091,17996,352,249,505
20200727,17920,18264,18838,19087,427,20,212
20200728,18390,19064,19050,20553,380,192,415
20200729,18879,19339,19989,21041,336,503,191
20200730,19419,19986,20546,21799,346,69,90
20200731,19869,20463,21035,23362,362,3,621
20200801,20359,21386,21622,23317,344,416,171
20200802,20972,21358,22448,24203,588,541,448
20200803,21416,22036,22636,24866,527,598,152
20200804,22006,22428,23327,25232,652,206,434
20200805,22396,23231,23863,25322,475,25,597
20200806,22955,24340,26453,27892,119,3028,1470
20200807,23454,24044,25196,27618,501,352,565
20200808,23927,24681,25821,27596,723,1344,756
20200809,24390,25126,26235,28806,677,152,44
20200810,24897,25798,26593,29238,465,22,83
20200811,25367,26165,27470,30111,648,229,256
20200812,25931,26619,27684,31220,707,14,762
20200813,26413,27238,28354,32533,600,116,1461
20200814,26949,27867,28860,31816,984,91,337
20200815,27489,28160,33320,33859,596,5536,1727
20200816,28021,29546,29961,36212,264,174,3919
20200817,28470,29385,30927,35080,608,486,1783
20200818,28892,30251,31483,34901,1248,1367,251
20200819,29326,30320,32081,36203,711,553,1459
20200820,30034,30826,32409,37268,767,211,2087
20200821,30717,31355,33334,37271,734,841,614
20200822,31371,32084,33435,37827,563,489,390
20200823,31981,33083,34469,37191,506,861,1347
20200824,32647,33589,34686,38267,1153,63,582
20200825,33075,34693,38618,39463,624,4697,240
20200826,33776,35223,36165,38731,788,27,1540
20200827,34480,35786,36653,40825,575,406,167
20200828,35135,36195,37265,42096,796,191,814
20200829,35831,36819,38244,42215,1025,585,390
20200830,36377,37868,38954,42498,814,36,1212
20200831,37163,38250,39585,43974,430,209,225
20200901,37698,38970,40253,43420,846,278,1460
20200902,38223,39641,41344,45149,961,126,908
20200903,38864,40428,41867,45039,302,341,1502
20200904,39943,40626,42396,46569,944,331,1026
20200905,40990,42025,42798,48765,1650,529,1137
20200906,42241,42957,43740,49971,1141,500,1763
20200907,43557,44425,45515,50923,1484,581,1566
20200908,44570,46166,49091,53489,268,4095,4813
20200909,45925,47020,49290,51655,626,2953,526
20200910,47542,48503,48651,51271,1961,886,1229
20200911,49134,49517,50562,52291,1335,1396,383
20200912,50712,51557,51333,53519,1765,122,2168
20200913,52410,53024,53902,55718,1736,1037,1381
20200914,54096,54805,55031,60437,1799,206,3824
20200915,55325,56922,57070,57024,1338,472,3407
20200916,56654,57906,58614,59656,1549,430,2085
20200917,58244,59604,60780,60961,995,699,3178
20200918,59711,61598,61819,63622,288,319,2526
20200919,61041,62630,63101,71594,2111,232,6212
20200920,62533,64115,64296,71993,2185,892,4575
20200921,63990,66149,67962,70214,804,1541,1842
20200922,65026,68863,68247,72198,1148,51,1310
20200923,66261,68495,69128,71933,2258,809,4594
20200924,67510,69482,70500,78912,1661,255,2551
20200925,68614,70992,72763,78113,1177,720,911
20200926,69832,71849,74263,81769,2452,631,2716
20200927,71049,73638,75323,87934,1881,718,7415
20200928,72190,75031,76225,82537,1690,344,2358
20200929,73014,75869,78276,84184,1422,1058,1543
20200930,74095,76647,80111,86796,2751,1913,93
20201001,75070,77553,80642,92687,1534,806,5941
20201002,76163,78472,81465,89995,2086,401,1518
20201003,77253,79552,82375,88748,2147,725,4545
20201004,78228,80597,83352,91124,2209,125,3062
20201005,79106,82627,94251,91509,1222,13061,4619
20201006,79738,83975,86521,100195,1464,1303,6041
20201007,80476,83836,88092,95510,1543,2955,2761
20201008,81097,85008,89809,97154,1203,4431,720
20201009,81793,84668,88353,101378,2445,1196,2982
20201010,82429,85864,88598,101413,2724,584,821
20201011,83064,87159,89626,97790,485,324,6021
20201012,83633,87059,90552,97720,2226,194,6757
20201013,84031,90404,90719,97880,462,895,6801
20201014,84708,88649,94745,102345,1023,4906,2735
20201015,85409,88871,92745,100558,3405,2302,5799
20201016,86057,90002,92238,104574,2091,398,1538
20201017,86754,90685,93230,103101,1569,51,4054
