date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,474,,,0,,,0
20200426,500,,,743,,,14
20200427,503,,,744,,,28
20200428,512,,,752,,,13
20200429,523,,,754,,,31
20200430,535,,,774,,,24
20200501,576,,,810,,,20
20200502,598,,,814,,,18
20200503,606,,,828,,,30
20200504,614,,,857,,,56
20200505,651,,,840,,,32
20200506,671,,,843,,,30
20200507,693,,,852,,,33
20200508,705,,,909,,,48
20200509,753,,,932,,,49
20200510,794,,,868,,,23
20200511,848,,,897,,,36
20200512,862,,,959,,,43
20200513,925,,,972,,,56
20200514,959,,,1008,,,49
20200515,987,,,1005,,,40
20200516,1056,,,1083,,,46
20200517,1092,,,1123,,,34
20200518,1147,,,1145,,,41
20200519,1246,,,1254,,,43
20200520,1397,,,1296,,,85
20200521,1462,,,1351,,,60
20200522,1605,,,1443,,,78
20200523,1743,,,1542,,,26
20200524,1959,,,1580,,,56
20200525,2089,,,1652,,,54
20200526,2182,,,1764,,,40
20200527,2283,,,2045,,,112
20200528,2418,,,2093,,,133
20200529,2533,,,2288,,,130
20200530,2781,,,2605,,,274
20200531,2922,,,2705,,,36
20200601,3221,,,2936,,,109
20200602,3408,,,3089,,,208
20200603,3796,,,3417,,,338
20200604,4063,,,3543,,,326
20200605,4320,,,3470,,,25
20200606,4835,,,3852,,,118
20200607,5213,,,4228,,,487
20200608,5452,,,4624,,,242
20200609,5760,,,5126,,,664
20200610,5921,,,5606,,,566
20200611,6041,,,5676,,,35
20200612,6245,,,6281,,,437
20200613,6516,,,7132,,,865
20200614,6824,,,7944,,,824
20200615,7000,,,8333,,,912
20200616,7213,,,8299,,,795
20200617,7530,,,9169,,,1287
20200618,7734,,,9341,,,1256
20200619,7944,,,8772,,,84
20200620,8281,,,10208,,,1447
20200621,8697,,,10435,,,1333
20200622,9150,,,9864,,,97
20200623,9399,,,10189,,,153
20200624,9721,,,11617,,,1355
20200625,10118,,,12184,,,1352
20200626,10560,,,12078,,,1121
20200627,11005,,,12883,,,1554
20200628,11923,,,13125,,,1211
20200629,13190,,,12853,,,232
20200630,14295,,,13508,,,226
20200701,15242,,,14628,,,1221
20200702,16514,,,15735,,,1789
20200703,18016,,,14535,,,372
20200704,19710,,,15990,,,587
20200705,21549,,,17594,,,1210
20200706,23474,,,19591,,,1490
20200707,25317,,,21221,,,1448
20200708,26815,,,22596,,,1517
20200709,28877,,,25152,,,2330
20200710,31105,,,26892,,,2205
20200711,33418,,,29225,,,2315
20200712,36216,,,30615,,,590
20200713,38843,,,32497,,,419
20200714,41581,,,35798,,,960
20200715,44077,,,36750,,,986
20200716,47253,,,39369,,,966
20200717,51422,,,43249,,,185
20200718,55115,,,47545,,,883
20200719,59652,,,50043,,,1600
20200720,63772,,,55183,,,1456
20200721,67420,,,56650,,,1398
20200722,71069,,,61088,,,370
20200723,75833,,,66832,,,847
20200724,80863,,,70019,,,1958
20200725,85870,,,74884,,,2797
20200726,90942,,,81333,,,2277
20200727,96141,,,87572,,,971
20200728,101465,,,94584,,,1910
20200729,107001,,,98002,,,884
20200730,112504,,,105213,,,433
20200731,118632,,,114983,,,3050
20200801,124115,,,119302,,,870
20200802,129287,,,127188,,,2351
20200803,134819,,,133405,,,812
20200804,139571,,,139210,,,2391
20200805,145830,,,143514,,,3382
20200806,151449,,,161591,,,8514
