date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200730,21797,22119,21813,20857,382,73,86
20200731,22303,22968,22565,22908,406,4,609
20200801,23613,24006,23930,23613,387,461,173
20200802,24742,24771,25196,25312,682,607,468
20200803,25911,25997,25408,26400,621,671,161
20200804,26873,27136,27055,27066,789,240,465
20200805,27956,28369,28153,28024,580,29,661
20200806,29151,30382,32005,31308,148,3663,1650
20200807,30449,30534,30769,31001,635,430,634
20200808,31700,32042,32232,32006,938,1678,877
20200809,33120,33288,33316,33985,897,193,52
20200810,34331,35032,34523,35374,632,29,101
20200811,35515,36079,36393,36770,892,303,313
20200812,36932,37268,37593,38970,990,20,951
20200813,38144,38794,39098,41314,855,160,1856
20200814,39708,40243,40405,41305,1420,128,437
20200815,41277,41492,47455,44857,878,7885,2287
20200816,42885,44366,43268,49174,396,252,5323
20200817,44415,44971,45569,48372,930,715,2458
20200818,46140,47193,47274,48863,1946,2052,351
20200819,47898,48419,49099,51562,1135,847,2077
20200820,50231,50347,50561,53820,1252,329,3013
20200821,52199,52439,53234,54917,1228,1343,905
20200822,54182,54522,54608,56800,957,799,585
20200823,56354,57138,57647,56919,873,1440,2060
20200824,58262,59188,58942,59699,2031,107,906
20200825,59504,61914,66698,63022,1114,8112,382
20200826,61879,63368,63727,63258,1417,48,2515
20200827,64355,65561,65411,68278,1053,725,278
20200828,66761,67555,67043,71536,1485,343,1382
20200829,69304,69959,70064,72910,1946,1072,674
20200830,71701,73242,72706,74886,1575,68,2135
20200831,73855,75392,75215,78475,845,397,401
20200901,75385,77445,77857,78115,1681,536,2626
20200902,76525,79269,81489,82714,1922,248,1663
20200903,78072,80939,83202,84062,604,678,2803
20200904,79625,81611,84778,88487,1896,660,1949
20200905,82104,83774,85683,94320,3289,1058,2198
20200906,84759,86043,87867,98495,2285,1003,3475
20200907,87841,89142,90731,101200,2977,1159,3111
20200908,89489,93102,98331,106963,541,8202,9624
20200909,92515,94408,98903,103416,1256,5926,1053
20200910,95917,97708,98113,102995,3949,1787,2468
20200911,99266,99900,101520,104239,2692,2802,763
20200912,102254,104160,103409,107199,3565,245,4340
20200913,105139,106916,108747,111800,3499,2092,2772
20200914,108278,109942,111178,121882,3608,416,7711
20200915,110818,113934,115072,114495,2679,952,6840
20200916,114033,115987,117584,120176,3103,863,4200
20200917,117863,119971,121655,122990,2001,1399,6410
20200918,122214,124650,123825,128536,581,638,5103
20200919,126381,128188,127009,144359,4321,469,12526
20200920,131005,132746,130108,144423,4524,1806,9177
20200921,135721,138579,139100,140540,1686,3154,3687
20200922,138631,146056,141301,144614,2435,106,2624
20200923,142756,146025,144822,144786,4814,1695,9245
20200924,148132,149695,149527,159686,3576,541,5162
20200925,154456,155771,155124,159878,2583,1534,1864
20200926,160933,161737,159996,169297,5519,1360,5623
20200927,167939,169704,165274,184218,4335,1575,15533
20200928,175384,177350,171588,175058,3992,774,5000
20200929,179922,184320,180391,179474,3454,2436,3289
20200930,187276,188874,189357,186997,6780,4522,199
20201001,196106,196016,195916,203374,3874,1956,13034
20201002,204241,204992,200745,202587,5447,988,3417
20201003,213499,213327,208204,204524,5758,1830,10474
20201004,221333,222739,217741,215388,6102,325,7236
20201005,229886,233778,252747,222318,3456,35023,11222
20201006,234928,244036,239112,246901,4254,3600,14883
20201007,242799,246999,249240,241402,4543,8361,6977
20201008,253405,256472,260989,253796,3628,12877,1879
20201009,258850,264561,260310,271857,7640,3522,7997
20201010,268100,271732,267302,280268,8621,1761,2268
20201011,279855,283480,280054,276680,1576,1012,17033
20201012,289202,293314,286567,283978,7501,612,19635
20201013,295132,312616,295061,288377,1595,2910,20038
20201014,303896,311349,319208,308775,3593,16527,8251
20201015,310140,318828,320708,314212,12216,7960,18119
20201016,317929,326816,323956,330945,7593,1398,4865
20201017,325212,335026,334468,335334,5795,182,13185
20201018,334228,340798,350159,349700,10228,14382,17625
20201019,341859,347164,348447,367262,8598,4484,6768
20201020,346881,358619,363161,400128,8823,4632,31241
20201021,353472,362793,379172,376945,8673,14304,25065
20201022,361841,371309,375793,421163,8728,725,33918
20201023,369323,377790,390897,408766,5417,17893,3508
20201024,377834,387560,397356,397937,12410,14975,23520
20201025,386087,394814,398209,423549,9508,7434,8888
20201026,392930,399759,409168,424338,8693,6554,21974
20201027,397217,419942,412455,422345,8169,1316,26582
20201028,402674,408043,427096,482594,3810,4793,38926
20201029,411464,414941,433551,438285,4800,15794,35164
20201030,418484,428485,434650,451962,9245,1536,23470
20201031,425122,430542,438473,468090,3219,3714,15729
20201101,433105,433721,446570,481820,335,3969,8844
20201102,440130,443748,455464,505178,1355,3681,6509
20201103,444268,448968,465901,504631,732,273,2497
20201104,451130,465324,472798,508443,9800,2479,742
20201105,459646,473326,479852,517905,6458,1142,1394
20201106,466466,485001,496274,527138,11944,28200,941
20201107,473468,490048,490543,533788,11139,4336,971
20201108,480669,495239,502198,544713,7117,4389,5701
20201109,486109,501938,509500,551286,12104,6053,4463
20201110,489702,507701,519831,544180,11907,12392,21081
20201111,495712,508867,527909,548303,10576,6827,22312
20201112,502719,525594,527757,556357,28541,4690,24665
20201113,508256,515541,539704,579671,2374,15461,17048
20201114,514060,527077,542199,574848,9127,5058,25524
20201115,520417,534821,544666,611433,11436,1421,48761
20201116,524998,534454,547800,594976,8041,3327,20381
20201117,527708,541424,555896,596709,4011,3938,26497
20201118,533500,547301,562548,605989,4362,345,4882
20201119,539919,556822,567829,625276,6212,1360,1570
20201120,545641,567136,566617,624448,9858,481,8234
20201121,551669,559370,570879,627789,5287,1668,11453
20201122,557441,566370,585379,614598,119,1788,26923
20201123,562695,573889,590219,649206,3658,727,3528
20201124,566452,600774,595508,652403,6775,3260,546
20201125,571872,584635,598594,659102,6860,3279,5082
20201126,578363,584823,602227,665800,5956,4720,2602
20201127,583741,603222,609771,669188,9630,2763,6601
20201128,587707,599913,617983,677249,4713,4748,1154
20201129,593957,631673,621951,685819,22198,693,2420
20201130,599600,608354,626110,685266,2590,948,2905
20201201,602982,610038,638948,695128,542,11910,1256
20201202,608357,613838,637789,701710,3578,3823,2309
20201203,614673,623868,643589,707156,2091,389,700
20201204,620049,628984,650677,712809,3238,958,1828
20201205,625767,653611,654312,715216,14964,3329,2953
20201206,631615,662478,668481,721612,10659,8163,2413
20201207,636392,644620,665569,732811,1634,1949,2451
20201208,639664,646697,670846,729138,1123,1175,173
20201209,644696,655373,677114,735193,88,972,3653
20201210,649571,656079,682588,772973,1657,205,39464
20201211,654041,665056,686528,746415,3651,2171,1860
20201212,658683,665637,690147,754828,1068,429,1593
20201213,664632,684674,694945,765999,6747,1565,929
20201214,669330,678363,698976,770184,4600,119,93
20201215,672037,695828,705431,779259,10896,2535,11
20201216,677255,685572,710329,780415,2119,2408,4078
20201217,683440,690365,717232,780472,2361,3574,9204
20201218,688409,714892,719205,789249,1574,765,3388
20201219,693865,710981,724311,790895,16994,5589,1918
20201220,700158,723429,731437,800562,27017,320,2357
20201221,705869,712233,733600,807331,1281,663,3231
20201222,709292,721913,741346,808376,5394,1792,5696
20201223,715341,721852,746994,812159,2625,4295,3233
20201224,721510,738294,755654,822229,17491,1193,1349
20201225,726687,752022,757503,827200,15977,1676,4847
20201226,732084,739036,764684,830857,2631,5968,1611
20201227,735611,750907,770473,836540,1051,492,1351
20201228,740516,757406,776556,840516,13622,2211,1755
20201229,743563,768426,783703,846759,20937,5553,4223
20201230,749450,758374,784701,855912,5984,2328,1970
20201231,755718,783498,786688,862456,25727,1843,4085
20210101,760933,771084,791951,865449,2086,899,614
20210102,765924,777758,797992,876399,3393,5230,14175
20210103,771252,779884,805442,872916,2878,1881,6565
20210104,775852,792736,809318,875007,1719,5556,8175
20210105,778873,789350,817103,881204,2011,9379,4325
20210106,784488,807319,818767,889974,25118,4375,6611
20210107,790882,802435,826938,890277,10727,1649,1456
20210108,795933,811960,830592,967109,3392,1867,82035
20210109,801075,811482,832078,909032,4368,229,1350
20210110,806603,833809,871289,914207,14717,43244,2506
20210111,811148,828372,851676,919215,9464,9488,2761
20210112,814258,824566,852639,918735,3137,2741,350
20210113,819765,827231,854564,927482,2347,2212,2338
20210114,825769,835294,891046,936628,1847,40975,1410
20210115,831259,844348,864684,937529,612,1356,5615
20210116,836883,846897,876469,942304,1695,3615,8139
20210117,842843,851130,874516,951186,5034,6163,2369
20210118,847848,859652,881163,954351,5664,104,2127
20210119,851194,862085,885593,956357,3198,872,6233
20210120,857380,865785,894382,954056,2622,2509,3804
20210121,864195,874495,897991,971840,968,1232,1159
20210122,870529,878663,899354,975741,5857,3704,2750
20210123,877282,904992,908527,983246,5650,1838,2543
20210124,884242,894607,918033,984786,10208,1194,891
20210125,890278,919397,915919,994615,19212,710,777
20210126,893639,905720,928731,991874,2362,2390,222
20210127,899932,928010,936553,999314,17781,2638,68
20210128,905591,949687,940672,1016818,6938,1670,2840
20210129,911362,941506,946183,1012109,107,7922,3115
20210130,917630,942653,957737,1029463,16317,7767,189
20210131,923912,928719,961204,1032821,25,7759,884
20210201,929178,937150,962147,1046262,1136,1451,9693
20210202,932637,950249,972880,1040654,2567,13214,590
20210203,938353,945284,977407,1042824,421,8190,7032
20210204,944709,954481,979790,1055087,6366,1529,9432
20210205,950811,979508,996906,1056928,21123,16481,1302
20210206,956421,975641,993253,1067946,15584,4267,4158
20210207,962363,993546,994251,1076558,14867,273,1485
20210208,968438,991879,1000807,1080947,2866,2814,14969
20210209,972180,983068,1007447,1079156,3494,5995,1724
20210210,977394,988988,1012669,1086002,2289,5254,1744
20210211,983374,1020389,1018383,1093457,18360,1583,4476
20210212,988655,1012232,1022712,1154251,8790,2252,52161
20210213,994052,1017869,1031161,1108804,25607,3126,1167
20210214,999523,1034772,1035137,1114915,0,383,10354
20210215,1004135,1022466,1040207,1119725,10324,1633,2216
20210216,1007019,1022466,1043819,1120515,10324,0,3190
20210217,1011956,1025028,1059563,1131517,611,13833,6192
20210218,1016848,1032071,1059563,1133185,2261,13833,1929
20210219,1021432,1034349,1061129,1137821,4264,5099,1082
20210220,1025937,1041843,1059759,1147687,7426,2340,2400
20210221,1030587,1060516,1066850,1150707,23611,2209,5256
20210222,1034657,1058842,1073509,1150707,9896,4590,5256
20210223,1036869,1050953,1076949,1157909,3502,372,1253
20210224,1040903,1054594,1137295,1172512,929,78941,3186
20210225,1045009,1061778,1085190,1162696,7747,2765,305
20210226,1048686,1080596,1086781,1177472,18163,4898,11406
20210227,1052357,1070239,1102082,1174549,11235,12075,2359
20210228,1056149,1084814,1094553,1188343,10814,1577,6748
20210301,1059403,1099165,1101583,1184848,11217,3674,1618
20210302,1061341,1091115,1117410,1186956,15875,17723,272
20210303,1064279,1078947,1108404,1194163,6816,1850,36
20210304,1067044,1081128,1128524,1190524,2122,6372,2125
20210305,1069660,1087959,1113461,1203116,3259,3364,2134
20210306,1072436,1092130,1112163,1198613,1901,1547,1638
20210307,1075227,1112496,1141295,1209947,17416,33928,3502
20210308,1077327,1086257,1122786,1211218,1355,3102,10244
20210309,1078739,1109733,1122889,1228900,23879,2718,4823
20210310,1081055,1093307,1144080,1218945,4068,18199,765
20210311,1083530,1108561,1126379,1212909,12543,338,754
20210312,1085663,1100342,1128956,1214195,6652,3617,1572
20210313,1087443,1098518,1130234,1225859,213,1412,9249
20210314,1089478,1116679,1177421,1224466,4527,64162,2639
20210315,1091270,1114189,1134393,1229898,5832,2696,2697
20210316,1092324,1121169,1133951,1226786,6323,160,10038
20210317,1094294,1126920,1138780,1233934,17828,1958,2716
20210318,1096392,1129825,1149469,1232356,18620,11827,11315
20210319,1098291,1135359,1158467,1237038,38719,14435,4023
20210320,1100275,1134539,1143032,1236416,7084,58,4836
20210321,1102353,1124567,1186963,1234715,16923,43687,3304
20210322,1104228,1113626,1152634,1256872,33,2646,34824
20210323,1105467,1126962,1174996,1234224,13470,36775,4135
20210324,1107452,1125576,1149167,1248606,2620,7,12996
20210325,1109908,1143737,1162580,1241432,17663,15134,4282
20210326,1111897,1153614,1164963,1248177,3986,21233,4453
20210327,1113722,1147697,1156677,1244546,15995,638,6283
20210328,1115777,1152422,1158240,1251232,6998,2557,1760
20210329,1117993,1151936,1164383,1249152,18299,2468,864
20210330,1119542,1135023,1160739,1249514,582,1081,3887
20210331,1121931,1136582,1166844,1253112,404,2784,4120
20210401,1124584,1143637,1174135,1256285,3417,9143,1946
20210402,1127382,1158684,1179294,1257023,4404,13292,6560
20210403,1129890,1158466,1168873,1262667,3260,4017,1067
20210404,1132431,1148542,1182250,1260001,2191,15515,277
20210405,1135233,1154217,1177125,1258684,14536,8178,5046
20210406,1137590,1170496,1181467,1258059,14995,400,2799
20210407,1141092,1154667,1181369,1271313,12369,3079,10266
20210408,1144594,1189005,1184846,1265510,2161,5300,7289
20210409,1148947,1162344,1185319,1261729,848,6541,404
20210410,1154010,1169673,1189005,1268745,5155,2161,9505
20210411,1160204,1191308,1194737,1275650,15980,3428,607
20210412,1167190,1180741,1193302,1276554,2171,1408,8515
20210413,1172882,1191132,1202385,1278735,10103,7575,1251
20210414,1180397,1205333,1212453,1277994,1849,5804,5092
20210415,1189175,1240529,1214833,1291791,61783,6467,3276
20210416,1197301,1209998,1240153,1288707,4660,29056,4594
20210417,1207332,1217426,1288592,1297670,3655,62628,6286
20210418,1221167,1221267,1237833,1298360,4629,1810,2584
20210419,1239424,1235581,1249433,1311817,819,5366,3577
20210420,1253068,1270044,1254382,1308743,26478,5600,387
20210421,1272645,1269048,1276431,1330784,7125,13952,2959
20210422,1295059,1290530,1303076,1329387,1129,15911,96
20210423,1322054,1317789,1307844,1344577,4737,1301,2471
20210424,1350501,1346264,1321845,1348887,759,1496,5572
20210425,1377186,1391349,1349109,1377254,22421,586,7249
20210426,1405655,1401138,1380958,1386970,669,3455,6797
20210427,1427545,1427971,1471340,1406309,7156,39961,5732
20210428,1460364,1445738,1434967,1420311,4977,2615,11244
20210429,1495377,1507658,1461007,1451109,12031,740,5273
20210430,1533984,1520119,1499288,1477132,1096,12509,3451
20210501,1571183,1580357,1538250,1518965,22335,26103,9965
20210502,1606819,1601295,1564741,1540472,309,7009,1910
20210503,1638778,1633707,1593759,1583235,2258,3383,3947
20210504,1664789,1706240,1636832,1601114,2639,5354,11280
20210505,1701979,1695219,1697980,1635177,1323,21055,13338
20210506,1743932,1745421,1706240,1675354,4303,2639,2706
20210507,1786396,1787784,1734033,1932448,39725,8833,281912
20210508,1824856,1804717,1773594,1757190,29619,4262,6749
20210509,1866827,1888712,1816634,1789914,12130,1077,8751
20210510,1902628,1930312,1834541,1839703,4352,12560,3763
20210511,1930115,1946149,1902458,1865670,5001,7310,4617
20210512,1967405,1972461,1933438,1904630,3187,70,136
20210513,2010934,2021551,1979707,1959914,40594,4221,9311
