date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,20,,,0,,,0
20200426,20,,,36,,,1
20200427,20,,,35,,,2
20200428,20,,,34,,,1
20200429,22,,,33,,,2
20200430,22,,,34,,,1
20200501,22,,,34,,,1
20200502,22,,,35,,,1
20200503,40,,,34,,,2
20200504,41,,,35,,,3
20200505,41,,,34,,,2
20200506,41,,,37,,,2
20200507,41,,,36,,,2
20200508,42,,,36,,,2
20200509,42,,,35,,,2
20200510,42,,,49,,,15
20200511,42,,,61,,,3
20200512,42,,,61,,,3
20200513,42,,,61,,,3
20200514,43,,,60,,,3
20200515,43,,,60,,,3
20200516,43,,,61,,,3
20200517,43,,,60,,,2
20200518,43,,,62,,,3
20200519,43,,,62,,,3
20200520,43,,,61,,,2
20200521,44,,,62,,,3
20200522,44,,,64,,,4
20200523,44,,,64,,,2
20200524,49,,,63,,,3
20200525,52,,,63,,,2
20200526,52,,,62,,,2
20200527,53,,,64,,,4
20200528,53,,,64,,,4
20200529,73,,,64,,,4
20200530,74,,,66,,,8
20200531,74,,,69,,,1
20200601,74,,,74,,,3
20200602,77,,,75,,,5
20200603,81,,,80,,,8
20200604,90,,,78,,,8
20200605,90,,,101,,,1
20200606,97,,,103,,,3
20200607,99,,,108,,,13
20200608,103,,,107,,,6
20200609,103,,,117,,,15
20200610,108,,,121,,,13
20200611,115,,,127,,,1
20200612,135,,,132,,,10
20200613,239,,,144,,,18
20200614,437,,,151,,,16
20200615,549,,,158,,,17
20200616,555,,,158,,,15
20200617,649,,,168,,,24
20200618,687,,,178,,,25
20200619,687,,,190,,,2
20200620,744,,,375,,,54
20200621,836,,,669,,,86
20200622,837,,,774,,,8
20200623,847,,,785,,,13
20200624,932,,,1002,,,117
20200625,941,,,1083,,,121
20200626,941,,,1045,,,97
20200627,946,,,1158,,,141
20200628,960,,,1219,,,55
20200629,963,,,1176,,,22
20200630,964,,,1218,,,21
20200701,973,,,1403,,,118
20200702,990,,,1464,,,167
20200703,990,,,1353,,,35
20200704,1001,,,1375,,,51
20200705,1005,,,1417,,,98
20200706,1005,,,1431,,,109
20200707,1005,,,1431,,,98
20200708,1041,,,1443,,,97
20200709,1041,,,1509,,,140
20200710,1055,,,1479,,,121
20200711,1064,,,1485,,,118
20200712,1077,,,1429,,,28
20200713,1086,,,1392,,,18
20200714,1093,,,1422,,,38
20200715,1093,,,1427,,,39
20200716,1142,,,1420,,,35
20200717,1147,,,1468,,,7
20200718,1151,,,1514,,,29
20200719,1159,,,1489,,,48
20200720,1178,,,1544,,,41
20200721,1195,,,1490,,,37
20200722,1198,,,1516,,,10
20200723,1206,,,1616,,,21
20200724,1210,,,1562,,,44
20200725,1246,,,1565,,,59
20200726,1276,,,1581,,,45
20200727,1285,,,1618,,,19
20200728,1306,,,1677,,,34
20200729,1327,,,1653,,,15
20200730,1347,,,1674,,,8
20200731,1378,,,1721,,,46
20200801,1404,,,1732,,,13
20200802,1462,,,1785,,,33
20200803,1466,,,1784,,,11
20200804,1485,,,1793,,,31
20200805,1534,,,1781,,,42
20200806,1592,,,1935,,,102
20200807,1595,,,1916,,,40
20200808,1614,,,1904,,,52
20200809,1639,,,2009,,,4
20200810,1688,,,2002,,,6
20200811,1717,,,2033,,,18
20200812,1770,,,2139,,,53
20200813,1811,,,2257,,,102
20200814,1849,,,2164,,,23
20200815,1879,,,2285,,,117
20200816,1909,,,2434,,,264
20200817,1948,,,2379,,,121
20200818,1966,,,2363,,,17
20200819,2010,,,2472,,,100
20200820,2048,,,2556,,,143
20200821,2077,,,2558,,,42
20200822,2133,,,2586,,,27
20200823,2210,,,2534,,,92
20200824,2279,,,2619,,,40
20200825,2330,,,2686,,,17
20200826,2420,,,2655,,,107
20200827,2451,,,2784,,,12
20200828,2492,,,2847,,,56
20200829,2540,,,2871,,,27
20200830,2603,,,2937,,,84
20200831,2638,,,3070,,,16
20200901,2681,,,3060,,,103
20200902,2733,,,3235,,,66
20200903,2785,,,3202,,,107
20200904,2840,,,3304,,,73
20200905,2935,,,3457,,,81
20200906,2996,,,3576,,,126
20200907,3036,,,3616,,,112
20200908,3064,,,3805,,,343
20200909,3102,,,3694,,,38
20200910,3142,,,3675,,,89
20200911,3177,,,3719,,,28
20200912,3228,,,3833,,,155
20200913,3294,,,3953,,,99
20200914,3345,,,4213,,,266
20200915,3419,,,3921,,,235
20200916,3499,,,4030,,,141
20200917,3535,,,4030,,,211
20200918,3576,,,4115,,,164
20200919,3635,,,4558,,,396
20200920,3708,,,4526,,,288
20200921,3753,,,4343,,,114
20200922,3832,,,4462,,,81
20200923,3887,,,4444,,,284
20200924,3933,,,4790,,,155
20200925,3969,,,4679,,,55
20200926,4025,,,4870,,,162
20200927,4093,,,5215,,,440
20200928,4103,,,4842,,,138
20200929,4152,,,4962,,,92
20200930,4195,,,5092,,,6
20201001,4269,,,5401,,,346
20201002,4360,,,5206,,,88
20201003,4429,,,5116,,,263
20201004,4477,,,5250,,,177
20201005,4521,,,5202,,,263
20201006,4641,,,5698,,,344
20201007,4720,,,5408,,,157
20201008,4802,,,5525,,,42
20201009,4902,,,5804,,,172
20201010,4987,,,5815,,,48
20201011,5059,,,5597,,,346
20201012,5081,,,5585,,,387
20201013,5151,,,5697,,,396
20201014,5238,,,6003,,,160
20201015,5304,,,5955,,,344
20201016,5393,,,6268,,,92
20201017,5441,,,6239,,,246
20201018,5534,,,6322,,,319
20201019,5598,,,6453,,,119
20201020,5647,,,6984,,,546
20201021,5695,,,6498,,,433
20201022,5781,,,7203,,,580
20201023,5812,,,6934,,,60
20201024,5840,,,6658,,,394
20201025,5913,,,7013,,,148
20201026,5933,,,6950,,,360
20201027,5978,,,6876,,,433
20201028,6024,,,7776,,,628
20201029,6085,,,7003,,,562
20201030,6139,,,7113,,,370
20201031,6194,,,7236,,,243
20201101,6270,,,7380,,,136
20201102,6287,,,7629,,,99
20201103,6357,,,7595,,,39
20201104,6441,,,7607,,,12
20201105,6553,,,7660,,,21
20201106,6633,,,7734,,,14
20201107,6718,,,7778,,,15
20201108,6790,,,7887,,,83
20201109,6809,,,7875,,,64
20201110,6934,,,7788,,,302
20201111,7063,,,7829,,,319
20201112,7134,,,7932,,,352
20201113,7211,,,8244,,,243
20201114,7291,,,8157,,,363
20201115,7356,,,8638,,,689
20201116,7396,,,8335,,,286
20201117,7493,,,8450,,,376
20201118,7563,,,8635,,,70
20201119,7623,,,8874,,,22
20201120,7714,,,8860,,,118
20201121,7787,,,8905,,,163
20201122,7866,,,8688,,,381
20201123,7939,,,9146,,,50
20201124,7945,,,9265,,,8
20201125,8028,,,9344,,,73
20201126,8119,,,9401,,,37
20201127,8228,,,9461,,,94
