date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,0,0,0,0,0,0,0
20200426,0,0,0,0,0,0,0
20200427,0,0,0,0,0,0,0
20200428,0,0,0,0,0,0,0
20200429,0,0,0,0,0,0,0
20200430,0,0,0,0,0,0,0
20200501,0,0,0,0,0,0,0
20200502,0,0,0,0,0,0,0
20200503,0,0,0,0,0,0,0
20200504,0,0,0,0,0,0,0
20200505,0,0,0,0,0,0,0
20200506,0,0,0,0,0,0,0
20200507,0,0,0,0,0,0,0
20200508,0,0,0,0,0,0,0
20200509,0,0,0,0,0,0,0
20200510,0,0,0,0,0,0,0
20200511,0,0,0,0,0,0,0
20200512,0,0,0,0,0,0,0
20200513,0,0,0,0,0,0,0
20200514,0,0,0,0,0,0,0
20200515,0,0,0,0,0,0,0
20200516,0,0,0,0,0,0,0
20200517,0,0,0,0,0,0,0
20200518,0,0,0,0,0,0,0
20200519,0,0,0,0,0,0,0
20200520,0,0,0,0,0,0,0
20200521,0,0,0,0,0,0,0
20200522,0,0,0,0,0,0,0
20200523,0,0,0,0,0,0,0
20200524,0,0,0,0,0,0,0
20200525,0,0,0,0,0,0,0
20200526,0,0,0,0,0,0,0
20200527,0,0,0,0,0,0,0
20200528,0,0,0,0,0,0,0
20200529,0,0,0,0,0,0,0
20200530,0,0,0,0,0,0,0
20200531,0,0,0,0,0,0,0
20200601,0,0,0,0,0,0,0
20200602,0,0,0,0,0,0,0
20200603,0,0,0,0,0,0,0
20200604,0,0,0,0,0,0,0
20200605,0,0,0,0,0,0,0
20200606,0,0,0,0,0,0,0
20200607,0,0,0,0,0,0,0
20200608,0,0,0,0,0,0,0
20200609,0,0,0,0,0,0,0
20200610,0,0,0,0,0,0,0
20200611,0,0,0,0,0,0,0
20200612,0,0,0,0,0,0,0
20200613,0,0,0,0,0,0,0
20200614,0,0,0,0,0,0,0
20200615,0,0,0,0,0,0,0
20200616,0,0,0,0,0,0,0
20200617,0,0,0,0,0,0,0
20200618,0,0,0,0,0,0,0
20200619,0,0,0,0,0,0,0
20200620,0,0,0,0,0,0,0
20200621,0,0,0,0,0,0,0
20200622,0,0,0,0,0,0,0
20200623,0,0,0,0,0,0,0
20200624,0,0,0,0,0,0,0
20200625,0,0,0,0,0,0,0
20200626,0,0,0,0,0,0,0
20200627,0,0,0,0,0,0,0
20200628,0,0,0,0,0,0,0
20200629,0,0,0,0,0,0,0
20200630,0,0,0,0,0,0,0
20200701,0,0,0,0,0,0,0
20200702,0,0,0,0,0,0,0
20200703,0,0,0,0,0,0,0
20200704,0,0,0,0,0,0,0
20200705,0,0,0,0,0,0,0
20200706,0,0,0,0,0,0,0
20200707,0,0,0,0,0,0,0
20200708,0,0,0,0,0,0,0
20200709,0,0,0,0,0,0,0
20200710,0,0,0,0,0,0,0
20200711,0,0,0,0,0,0,0
20200712,0,0,0,0,0,0,0
20200713,0,0,0,0,0,0,0
20200714,0,0,0,0,0,0,0
20200715,0,0,0,0,0,0,0
20200716,0,0,0,0,0,0,0
20200717,0,0,0,0,0,0,0
20200718,0,0,0,0,0,0,0
20200719,0,0,0,0,0,0,0
20200720,0,0,0,0,0,0,0
20200721,0,0,0,0,0,0,0
20200722,0,0,0,0,0,0,0
20200723,0,0,0,0,0,0,0
20200724,0,0,0,0,0,0,0
20200725,0,0,0,0,0,0,0
20200726,0,0,0,0,0,0,0
20200727,0,0,0,0,0,0,0
20200728,0,0,0,0,0,0,0
20200729,0,0,0,0,0,0,0
20200730,0,0,0,0,0,0,0
20200731,0,0,0,0,0,0,0
20200801,0,0,0,0,0,0,0
20200802,0,0,0,0,0,0,0
20200803,0,0,0,0,0,0,0
20200804,0,0,0,0,0,0,0
20200805,0,0,0,0,0,0,0
20200806,0,0,0,0,0,0,0
20200807,0,0,0,0,0,0,0
20200808,0,0,0,0,0,0,0
20200809,0,0,0,0,0,0,0
20200810,0,0,0,0,0,0,0
20200811,0,0,0,0,0,0,0
20200812,0,0,0,0,0,0,0
20200813,0,0,0,0,0,0,0
20200814,0,0,0,0,0,0,0
20200815,0,0,0,0,0,0,0
20200816,0,0,0,0,0,0,0
20200817,0,0,0,0,0,0,0
20200818,0,0,0,0,0,0,0
20200819,0,0,0,0,0,0,0
20200820,0,0,0,0,0,0,0
20200821,0,0,0,0,0,0,0
20200822,0,0,0,0,0,0,0
20200823,0,0,0,0,0,0,0
20200824,0,0,0,0,0,0,0
20200825,0,0,0,0,0,0,0
20200826,0,0,0,0,0,0,0
20200827,0,0,0,0,0,0,0
20200828,0,0,0,0,0,0,0
20200829,0,0,0,0,0,0,0
20200830,0,0,0,0,0,0,0
20200831,0,0,0,0,0,0,0
20200901,0,0,0,0,0,0,0
20200902,0,0,0,0,0,0,0
20200903,0,0,0,0,0,0,0
20200904,0,0,0,0,0,0,0
20200905,0,0,0,0,0,0,0
20200906,0,0,0,0,0,0,0
20200907,0,0,0,0,0,0,0
20200908,0,0,0,0,0,0,0
20200909,0,0,0,0,0,0,0
20200910,0,0,0,0,0,0,0
20200911,0,0,0,0,0,0,0
20200912,0,0,0,0,0,0,0
20200913,0,0,0,0,0,0,0
20200914,0,0,0,0,0,0,0
20200915,0,0,0,0,0,0,0
20200916,0,0,0,0,0,0,0
20200917,0,0,0,0,0,0,0
20200918,0,0,0,0,0,0,0
20200919,0,0,0,0,0,0,0
20200920,0,0,0,0,0,0,0
20200921,0,0,0,0,0,0,0
20200922,0,0,0,0,0,0,0
20200923,0,0,0,0,0,0,0
20200924,0,0,0,0,0,0,0
20200925,0,0,0,0,0,0,0
20200926,0,0,0,0,0,0,0
20200927,0,0,0,0,0,0,0
20200928,0,0,0,0,0,0,0
20200929,0,0,0,0,0,0,0
20200930,0,0,0,0,0,0,0
20201001,0,0,0,0,0,0,0
20201002,0,0,0,0,0,0,0
20201003,0,0,0,0,0,0,0
20201004,0,0,0,0,0,0,0
20201005,0,0,0,0,0,0,0
20201006,0,0,0,0,0,0,0
20201007,0,0,0,0,0,0,0
20201008,0,0,0,0,0,0,0
20201009,0,0,0,0,0,0,0
20201010,0,0,0,0,0,0,0
20201011,0,0,0,0,0,0,0
20201012,0,0,0,0,0,0,0
20201013,0,0,0,0,0,0,0
20201014,0,0,0,0,0,0,0
20201015,0,0,0,0,0,0,0
20201016,0,0,0,0,0,0,0
20201017,0,0,0,0,0,0,0
20201018,0,0,0,0,0,0,0
20201019,0,0,0,0,0,0,0
20201020,0,0,0,0,0,0,0
20201021,0,0,0,0,0,0,0
20201022,0,0,0,0,0,0,0
20201023,0,0,0,0,0,0,0
20201024,0,0,0,0,0,0,0
20201025,0,0,0,0,0,0,0
20201026,0,0,0,0,0,0,0
20201027,0,0,0,0,0,0,0
20201028,0,0,0,0,0,0,0
20201029,0,0,0,0,0,0,0
20201030,0,0,0,0,0,0,0
20201031,0,0,0,0,0,0,0
20201101,0,0,0,0,0,0,0
20201102,0,0,0,0,0,0,0
20201103,0,0,0,0,0,0,0
20201104,0,0,0,0,0,0,0
20201105,0,0,0,0,0,0,0
20201106,0,0,0,0,0,0,0
20201107,0,0,0,0,0,0,0
20201108,0,0,0,0,0,0,0
20201109,0,0,0,0,0,0,0
20201110,0,0,0,0,0,0,0
20201111,0,0,0,0,0,0,0
20201112,0,0,0,0,0,0,0
20201113,0,0,0,0,0,0,0
20201114,0,0,0,0,0,0,0
20201115,0,0,0,0,0,0,0
20201116,0,0,0,0,0,0,0
20201117,0,0,0,0,0,0,0
20201118,0,0,0,0,0,0,0
20201119,0,0,0,0,0,0,0
20201120,0,0,0,0,0,0,0
20201121,0,0,0,0,0,0,0
20201122,0,0,0,0,0,0,0
20201123,0,0,0,0,0,0,0
20201124,0,0,0,0,0,0,0
20201125,0,0,0,0,0,0,0
20201126,0,0,0,0,0,0,0
20201127,0,0,0,0,0,0,0
20201128,0,0,0,0,0,0,0
20201129,0,0,0,0,0,0,0
20201130,0,0,0,0,0,0,0
20201201,0,0,0,0,0,0,0
20201202,0,0,0,0,0,0,0
20201203,0,0,0,0,0,0,0
20201204,0,0,0,0,0,0,0
20201205,0,0,0,0,0,0,0
20201206,0,0,0,0,0,0,0
20201207,0,0,0,0,0,0,0
20201208,0,0,0,0,0,0,0
20201209,0,0,0,0,0,0,0
20201210,0,0,0,0,0,0,0
20201211,0,0,0,0,0,0,0
20201212,0,0,0,0,0,0,0
20201213,0,0,0,0,0,0,0
20201214,0,0,0,0,0,0,0
20201215,0,0,0,0,0,0,0
20201216,0,0,0,0,0,0,0
20201217,0,0,0,0,0,0,0
20201218,0,0,0,0,0,0,0
20201219,0,0,0,0,0,0,0
20201220,0,0,0,0,0,0,0
20201221,0,0,0,0,0,0,0
20201222,0,0,0,0,0,0,0
20201223,0,0,0,0,0,0,0
20201224,0,0,0,0,0,0,0
20201225,0,0,0,0,0,0,0
20201226,0,0,0,0,0,0,0
20201227,0,0,0,0,0,0,0
20201228,0,0,0,0,0,0,0
20201229,0,0,0,0,0,0,0
20201230,0,0,0,0,0,0,0
20201231,0,0,0,0,0,0,0
20210101,0,0,0,0,0,0,0
20210102,0,0,0,0,0,0,0
20210103,0,0,0,0,0,0,0
20210104,0,0,0,0,0,0,0
20210105,0,0,0,0,0,0,0
20210106,0,0,0,0,0,0,0
20210107,0,0,0,0,0,0,0
20210108,0,0,0,0,0,0,0
20210109,0,0,0,0,0,0,0
20210110,0,0,0,0,0,0,0
20210111,0,0,0,0,0,0,0
20210112,0,0,0,0,0,0,0
20210113,0,0,0,0,0,0,0
20210114,0,0,0,0,0,0,0
20210115,0,0,0,0,0,0,0
20210116,0,0,0,0,0,0,0
20210117,0,0,0,0,0,0,0
20210118,0,0,0,0,0,0,0
20210119,14,0,0,0,0,0,0
20210120,21,15,0,0,0,0,0
20210121,30,22,0,0,0,0,0
20210122,48,31,15,0,0,0,0
20210123,50,51,23,0,1,0,0
20210124,57,52,32,0,1,0,0
20210125,59,60,51,0,2,0,0
20210126,67,61,54,17,1,1,0
20210127,69,70,61,25,2,0,0
20210128,69,74,63,36,1,0,0
20210129,69,72,72,56,0,1,0
20210130,70,72,74,59,2,0,0
20210131,79,71,74,67,0,1,0
20210201,87,81,73,70,0,0,1
20210202,99,90,75,79,1,1,1
20210203,119,101,85,81,0,1,1
20210204,122,122,92,81,1,0,1
20210205,126,127,107,81,3,3,1
20210206,141,130,127,82,3,1,0
20210207,151,147,129,93,3,0,1
20210208,153,156,133,98,0,0,8
20210209,154,156,149,115,1,2,0
