date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,1852,,,0,,,0
20200426,2096,,,2719,,,49
20200427,2096,,,2682,,,99
20200428,2168,,,2734,,,45
20200429,2387,,,2799,,,113
20200430,2561,,,2881,,,89
20200501,2719,,,3091,,,76
20200502,2719,,,3178,,,69
20200503,2846,,,3422,,,147
20200504,2846,,,3567,,,230
20200505,2942,,,3555,,,134
20200506,3049,,,3844,,,136
20200507,3138,,,4072,,,154
20200508,3252,,,4287,,,222
20200509,3341,,,4231,,,222
20200510,3614,,,4087,,,109
20200511,3614,,,4153,,,166
20200512,3785,,,4333,,,193
20200513,3986,,,4401,,,262
20200514,4173,,,4563,,,218
20200515,4426,,,4569,,,189
20200516,4595,,,4803,,,201
20200517,4789,,,5108,,,150
20200518,4977,,,5210,,,183
20200519,5236,,,5502,,,186
20200520,5465,,,5607,,,315
20200521,5735,,,5819,,,256
20200522,5981,,,6469,,,348
20200523,6170,,,6709,,,111
20200524,6371,,,6928,,,245
20200525,6665,,,7166,,,233
20200526,6859,,,7411,,,168
20200527,7024,,,7999,,,438
20200528,7261,,,8210,,,522
20200529,7453,,,8523,,,483
20200530,7645,,,9219,,,971
20200531,7891,,,8797,,,116
20200601,8089,,,9367,,,348
20200602,8283,,,9708,,,654
20200603,8420,,,10511,,,1040
20200604,8588,,,10638,,,976
20200605,8762,,,10207,,,73
20200606,8996,,,10589,,,323
20200607,9228,,,11417,,,1315
20200608,9401,,,11610,,,607
20200609,9638,,,12456,,,1616
20200610,9849,,,12435,,,1254
20200611,10049,,,11996,,,73
20200612,10241,,,12738,,,885
20200613,10443,,,13270,,,1608
20200614,10641,,,14062,,,1459
20200615,10802,,,14368,,,1571
20200616,10935,,,14310,,,1371
20200617,11083,,,15251,,,2140
20200618,11244,,,15539,,,2090
20200619,11426,,,14385,,,137
20200620,11582,,,16359,,,2318
20200621,11724,,,16272,,,2077
20200622,11903,,,15221,,,149
20200623,12078,,,15446,,,231
20200624,12261,,,17097,,,1993
20200625,12448,,,17713,,,1965
20200626,12596,,,17372,,,1612
20200627,12798,,,18018,,,2173
20200628,12965,,,18047,,,2132
20200629,13186,,,16721,,,302
20200630,13370,,,17357,,,290
20200701,13593,,,18450,,,1541
20200702,13861,,,19358,,,2201
20200703,14106,,,17882,,,457
20200704,14297,,,18594,,,682
20200705,14604,,,19131,,,1316
20200706,14930,,,19584,,,1490
20200707,15284,,,19847,,,1354
20200708,15627,,,20152,,,1353
20200709,16036,,,21111,,,1956
20200710,16341,,,21056,,,1727
20200711,16657,,,21199,,,1678
20200712,17201,,,20748,,,399
20200713,17632,,,20669,,,266
20200714,18207,,,21612,,,580
20200715,19005,,,21417,,,575
20200716,19643,,,21862,,,536
20200717,20378,,,22721,,,97
20200718,21081,,,23699,,,440
20200719,21763,,,23769,,,761
20200720,22600,,,25049,,,661
20200721,23310,,,24806,,,612
20200722,24095,,,26341,,,160
20200723,24842,,,27782,,,353
20200724,25474,,,27749,,,776
20200725,26210,,,28643,,,1070
20200726,26926,,,29674,,,831
20200727,27800,,,31035,,,344
20200728,28589,,,32702,,,661
20200729,29217,,,33227,,,300
20200730,30134,,,34467,,,142
20200731,30968,,,36223,,,961
20200801,31806,,,36415,,,266
20200802,32614,,,37658,,,696
20200803,33535,,,38576,,,235
20200804,34285,,,39225,,,674
20200805,35082,,,39188,,,923
20200806,35734,,,43283,,,2281
20200807,36564,,,43045,,,880
20200808,37298,,,43111,,,1181
20200809,38157,,,44797,,,68
20200810,39025,,,45783,,,130
20200811,39891,,,46912,,,400
20200812,40734,,,48904,,,1193
20200813,41604,,,50644,,,2275
20200814,42618,,,49600,,,525
20200815,43414,,,52779,,,2691
20200816,44433,,,56652,,,6131
20200817,45455,,,54986,,,2794
20200818,46385,,,54884,,,394
20200819,47375,,,56870,,,2291
20200820,48351,,,58701,,,3287
20200821,49493,,,58941,,,971
20200822,50640,,,59740,,,616
20200823,51866,,,58973,,,2135
20200824,53129,,,61097,,,928
20200825,54421,,,63356,,,384
20200826,55800,,,62568,,,2487
20200827,56864,,,65722,,,268
20200828,58181,,,67828,,,1311
20200829,59433,,,68144,,,629
20200830,60875,,,68922,,,1966
20200831,62433,,,71561,,,367
20200901,63965,,,71442,,,2402
20200902,65490,,,74588,,,1500
20200903,66914,,,74277,,,2476
20200904,68586,,,77115,,,1699
20200905,70244,,,80886,,,1885
20200906,71880,,,83623,,,2951
20200907,73574,,,85549,,,2630
20200908,75459,,,90759,,,8166
20200909,77323,,,88503,,,901
20200910,79192,,,88276,,,2115
20200911,81379,,,89788,,,657
20200912,83619,,,91714,,,3714
20200913,85966,,,94812,,,2350
20200914,88247,,,102087,,,6459
20200915,90730,,,96544,,,5768
20200916,93053,,,100441,,,3511
20200917,95515,,,101544,,,5292
20200918,97906,,,105375,,,4184
20200919,100458,,,118051,,,10243
20200920,103065,,,118086,,,7503
20200921,105644,,,114540,,,3004
20200922,108167,,,118400,,,2148
20200923,110711,,,118148,,,7544
20200924,113057,,,129408,,,4184
20200925,115361,,,128079,,,1493
20200926,117588,,,134571,,,4469
20200927,119899,,,144930,,,12220
20200928,122209,,,136264,,,3892
20200929,124166,,,140035,,,2567
20200930,126043,,,145021,,,155
20201001,128047,,,155219,,,9948
20201002,130088,,,151309,,,2552
20201003,132107,,,149439,,,7654
20201004,133918,,,153775,,,5167
20201005,135638,,,154913,,,7820
20201006,137098,,,170389,,,10271
20201007,138668,,,162472,,,4696
20201008,140307,,,165716,,,1227
20201009,142022,,,173155,,,5094
20201010,143629,,,173422,,,1403
20201011,145245,,,167406,,,10307
20201012,146820,,,167554,,,11585
20201013,148298,,,168290,,,11694
20201014,149761,,,176349,,,4713
20201015,155276,,,173976,,,10032
20201016,156584,,,181579,,,2670
20201017,157936,,,179649,,,7064
20201018,159158,,,181495,,,9148
20201019,160188,,,186449,,,3436
20201020,161203,,,201056,,,15698
20201021,162178,,,185760,,,12352
20201022,163296,,,210861,,,16982
20201023,164341,,,201323,,,1728
20201024,165294,,,193254,,,11422
20201025,166298,,,201693,,,4233
20201026,167249,,,198836,,,10296
20201027,167969,,,196273,,,12354
20201028,168483,,,221421,,,17861
20201029,169271,,,197795,,,15869
20201030,169999,,,201114,,,10444
20201031,170690,,,204780,,,6881
20201101,171359,,,207533,,,3809
20201102,172082,,,215027,,,2771
20201103,172717,,,213391,,,1056
20201104,173384,,,212739,,,311
20201105,174091,,,213060,,,574
20201106,174825,,,214138,,,383
20201107,175603,,,214321,,,390
20201108,176468,,,215518,,,2255
20201109,177359,,,215542,,,1745
20201110,178168,,,211560,,,8196
20201111,179068,,,210732,,,8576
20201112,179951,,,210721,,,9342
20201113,180997,,,217253,,,6390
20201114,182045,,,213204,,,9467
20201115,183057,,,224476,,,17901
20201116,183927,,,217080,,,7436
20201117,184524,,,217101,,,9641
20201118,185446,,,218904,,,1764
20201119,186655,,,223821,,,562
20201120,188018,,,222375,,,2933
20201121,189546,,,222321,,,4056
20201122,191246,,,216186,,,9470
20201123,193044,,,227442,,,1237
20201124,194745,,,228127,,,191
20201125,196511,,,229106,,,1767
20201126,198284,,,230174,,,899
20201127,199952,,,230591,,,2275
