date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,12,,,0,,,0
20200426,12,,,22,,,1
20200427,12,,,22,,,1
20200428,12,,,21,,,1
20200429,12,,,23,,,1
20200430,12,,,23,,,1
20200501,12,,,23,,,1
20200502,12,,,22,,,1
20200503,12,,,21,,,1
20200504,12,,,21,,,2
20200505,12,,,21,,,1
20200506,12,,,20,,,1
20200507,12,,,20,,,1
20200508,12,,,20,,,2
20200509,12,,,20,,,1
20200510,13,,,18,,,1
20200511,13,,,18,,,1
20200512,13,,,19,,,1
20200513,13,,,18,,,1
20200514,13,,,18,,,1
20200515,13,,,18,,,1
20200516,13,,,18,,,1
20200517,13,,,19,,,1
20200518,13,,,20,,,1
20200519,13,,,20,,,1
20200520,13,,,19,,,1
20200521,14,,,20,,,1
20200522,14,,,20,,,2
20200523,14,,,20,,,1
20200524,14,,,20,,,1
20200525,14,,,20,,,1
20200526,14,,,19,,,1
20200527,15,,,20,,,2
20200528,20,,,21,,,1
20200529,21,,,21,,,1
20200530,27,,,22,,,3
20200531,27,,,20,,,0
20200601,27,,,21,,,1
20200602,27,,,20,,,2
20200603,27,,,23,,,3
20200604,33,,,30,,,3
20200605,33,,,29,,,0
20200606,33,,,38,,,2
20200607,33,,,40,,,5
20200608,36,,,40,,,3
20200609,36,,,41,,,6
20200610,43,,,41,,,4
20200611,44,,,47,,,1
20200612,44,,,49,,,4
20200613,44,,,49,,,6
20200614,44,,,51,,,5
20200615,44,,,56,,,7
20200616,44,,,56,,,5
20200617,44,,,67,,,10
20200618,44,,,69,,,10
20200619,44,,,63,,,1
20200620,44,,,70,,,10
20200621,44,,,68,,,9
20200622,44,,,63,,,1
20200623,44,,,63,,,1
20200624,46,,,69,,,8
20200625,46,,,70,,,8
20200626,46,,,68,,,7
20200627,47,,,69,,,9
20200628,47,,,69,,,9
20200629,47,,,63,,,1
20200630,47,,,64,,,1
20200701,52,,,70,,,6
20200702,52,,,72,,,9
20200703,56,,,67,,,3
20200704,62,,,69,,,3
20200705,62,,,70,,,5
20200706,62,,,71,,,5
20200707,80,,,71,,,5
20200708,80,,,78,,,5
20200709,80,,,80,,,8
20200710,113,,,84,,,8
20200711,207,,,93,,,8
20200712,207,,,89,,,3
20200713,306,,,87,,,1
20200714,318,,,114,,,4
20200715,318,,,110,,,3
20200716,346,,,110,,,3
20200717,377,,,158,,,1
20200718,403,,,295,,,6
20200719,418,,,287,,,10
20200720,450,,,435,,,12
20200721,466,,,434,,,11
20200722,490,,,441,,,3
20200723,514,,,490,,,7
20200724,534,,,514,,,15
20200725,588,,,549,,,21
20200726,646,,,571,,,17
20200727,702,,,619,,,7
20200728,738,,,655,,,14
20200729,779,,,676,,,6
20200730,784,,,714,,,3
20200731,803,,,760,,,20
20200801,823,,,818,,,7
20200802,856,,,904,,,17
20200803,874,,,975,,,7
20200804,902,,,1013,,,17
20200805,917,,,1046,,,25
20200806,929,,,1127,,,60
20200807,990,,,1117,,,23
20200808,1006,,,1116,,,32
20200809,1023,,,1177,,,3
20200810,1062,,,1194,,,4
20200811,1114,,,1235,,,11
20200812,1136,,,1279,,,32
20200813,1179,,,1317,,,60
20200814,1193,,,1343,,,15
20200815,1228,,,1424,,,73
20200816,1292,,,1520,,,165
20200817,1374,,,1497,,,77
20200818,1418,,,1533,,,12
20200819,1457,,,1587,,,65
20200820,1506,,,1664,,,94
20200821,1661,,,1651,,,28
20200822,1718,,,1691,,,18
20200823,1811,,,1715,,,63
20200824,1917,,,1847,,,29
20200825,1976,,,1938,,,13
20200826,2018,,,1925,,,77
20200827,2050,,,2048,,,8
20200828,2129,,,2277,,,44
20200829,2240,,,2312,,,22
20200830,2283,,,2407,,,70
20200831,2343,,,2583,,,14
20200901,2368,,,2595,,,87
20200902,2440,,,2698,,,54
20200903,2517,,,2678,,,90
20200904,2626,,,2822,,,63
20200905,2734,,,3049,,,71
20200906,2916,,,3137,,,112
20200907,3005,,,3211,,,99
20200908,3034,,,3361,,,302
20200909,3076,,,3298,,,34
20200910,3197,,,3321,,,80
20200911,3296,,,3438,,,26
20200912,3447,,,3570,,,145
20200913,3615,,,3847,,,96
20200914,3724,,,4170,,,265
20200915,3864,,,3882,,,232
20200916,4036,,,3996,,,141
20200917,4195,,,4100,,,214
20200918,4356,,,4269,,,169
20200919,4445,,,4867,,,423
20200920,4557,,,4966,,,316
20200921,4660,,,4834,,,128
20200922,4733,,,5043,,,92
20200923,4791,,,5125,,,327
20200924,4961,,,5684,,,184
20200925,5078,,,5699,,,67
20200926,5158,,,5955,,,198
20200927,5212,,,6409,,,541
20200928,5302,,,6012,,,172
20200929,5362,,,6128,,,112
20200930,5463,,,6277,,,7
20201001,5639,,,6812,,,437
20201002,5802,,,6661,,,113
20201003,6033,,,6556,,,336
20201004,6456,,,6685,,,225
20201005,6656,,,6721,,,340
20201006,6767,,,7359,,,444
20201007,7037,,,7042,,,204
20201008,7165,,,7299,,,55
20201009,7261,,,7724,,,227
20201010,7388,,,7921,,,65
