date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200730,38964,40771,41169,44862,705,138,185
20200731,40145,41057,42182,47238,726,8,1253
20200801,41298,43210,44110,47485,696,849,347
20200802,42646,43323,45040,49367,1193,1086,913
20200803,43804,44809,45734,49828,1071,1207,304
20200804,44975,45874,47318,50597,1334,418,870
20200805,46679,47477,48524,51657,969,50,1217
20200806,47272,50730,54107,55965,246,6193,2949
20200807,48996,49515,51494,55801,1031,719,1141
20200808,50157,51559,53818,55977,1509,2801,1534
20200809,51328,52670,54027,58576,1420,312,90
20200810,52497,54290,55552,59802,980,46,169
20200811,53670,55169,57583,61539,1365,479,524
20200812,54887,56318,58259,65069,1495,29,1587
20200813,56100,57654,59786,66996,1270,243,3009
20200814,57414,59187,61060,66464,2089,193,703
20200815,58692,59993,70526,70975,1269,11718,3618
20200816,59979,63084,63636,76207,563,370,8248
20200817,61296,62897,65888,73967,1300,1034,3759
20200818,62630,65130,67219,73842,2687,2917,530
20200819,63977,65724,68669,76629,1540,1184,3087
20200820,65289,67249,69777,79154,1673,454,4433
20200821,66619,68159,72259,79404,1595,1822,1308
20200822,67954,69584,72939,80763,1222,1067,832
20200823,69264,71661,74928,79607,1095,1872,2882
20200824,70609,72747,75225,82389,2497,136,1251
20200825,71955,75034,83652,85545,1350,10175,519
20200826,73325,76627,78326,84493,1713,58,3359
20200827,74670,77688,79273,88745,1248,879,361
20200828,76015,78382,81071,91298,1722,416,1763
20200829,77370,79657,83024,91443,2216,1271,844
20200830,78777,81767,84358,92041,1758,78,2625
20200831,80227,82832,85641,95106,929,452,486
20200901,81693,84127,86918,94460,1826,599,3175
20200902,83163,85902,89532,98013,2084,273,1970
20200903,84674,87959,90380,97535,657,736,3252
20200904,86227,88512,91872,100753,2057,715,2219
20200905,87797,90720,93115,105298,3562,1149,2453
20200906,89363,92009,95298,108215,2443,1089,3817
20200907,90956,93983,98254,109931,3139,1255,3380
20200908,92536,96403,105149,115913,561,8771,10429
20200909,94126,97623,104275,112386,1299,6247,1145
20200910,95736,99409,101593,111705,4018,1850,2678
20200911,97376,99711,104977,112882,2688,2898,826
20200912,99036,102176,105210,114632,3498,249,4641
