date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,0,0,0,0,0,0,0
20200426,0,0,0,0,0,0,0
20200427,0,0,0,0,0,0,0
20200428,0,0,0,0,0,0,0
20200429,0,0,0,0,0,0,0
20200430,0,0,0,0,0,0,0
20200501,0,0,0,0,0,0,0
20200502,0,0,0,0,0,0,0
20200503,0,0,0,0,0,0,0
20200504,0,0,0,0,0,0,0
20200505,0,0,0,0,0,0,0
20200506,0,0,0,0,0,0,0
20200507,0,0,0,0,0,0,0
20200508,0,0,0,0,0,0,0
20200509,0,0,0,0,0,0,0
20200510,0,0,0,0,0,0,0
20200511,0,0,0,0,0,0,0
20200512,0,0,0,0,0,0,0
20200513,0,0,0,0,0,0,0
20200514,0,0,0,0,0,0,0
20200515,0,0,0,0,0,0,0
20200516,0,0,0,0,0,0,0
20200517,0,0,0,0,0,0,0
20200518,0,0,0,0,0,0,0
20200519,0,0,0,0,0,0,0
20200520,0,0,0,0,0,0,0
20200521,0,0,0,0,0,0,0
20200522,0,0,0,0,0,0,0
20200523,0,0,0,0,0,0,0
20200524,1,0,0,0,0,0,0
20200525,1,2,0,0,0,0,0
20200526,1,2,0,0,0,0,0
20200527,1,2,2,0,0,0,0
20200528,1,2,2,0,0,0,0
20200529,1,2,2,0,0,0,0
20200530,1,2,2,0,0,0,0
20200531,1,2,2,2,0,0,0
20200601,1,2,2,2,0,0,0
20200602,1,2,2,2,0,0,0
20200603,1,2,2,2,0,0,0
20200604,2,2,2,2,0,0,0
20200605,2,3,2,2,0,0,0
20200606,3,3,2,2,0,0,0
20200607,7,4,3,2,0,0,0
20200608,7,8,3,2,0,0,0
20200609,7,8,4,2,0,0,0
20200610,13,9,10,2,1,1,0
20200611,13,15,9,3,1,0,0
20200612,14,15,9,4,1,1,1
20200613,63,16,17,5,1,3,0
20200614,63,68,17,11,0,1,2
20200615,68,68,18,11,0,3,2
20200616,68,73,76,11,1,4,2
20200617,70,75,78,21,1,6,3
20200618,70,75,79,21,0,2,3
20200619,70,78,83,20,3,9,0
20200620,70,76,81,99,2,0,15
20200621,70,76,82,97,1,4,13
20200622,78,76,82,97,0,1,1
20200623,78,85,83,97,1,3,2
20200624,79,83,83,109,1,4,13
20200625,84,86,91,111,1,0,13
20200626,85,89,97,107,2,10,10
20200627,86,93,96,110,3,9,14
20200628,87,94,99,109,2,4,15
20200629,88,92,100,110,2,4,2
20200630,88,94,102,113,3,2,3
20200701,89,97,103,119,3,2,10
20200702,101,96,110,132,2,12,15
20200703,102,110,101,121,2,2,3
20200704,102,111,113,126,1,15,5
20200705,103,110,120,129,1,3,9
20200706,123,111,120,131,0,6,10
20200707,125,131,120,131,4,3,9
20200708,125,133,119,133,4,0,10
20200709,133,135,147,154,2,7,15
20200710,134,141,143,153,4,2,13
20200711,134,142,144,152,5,3,13
20200712,151,145,165,147,8,15,3
20200713,153,163,156,171,10,2,3
20200714,192,162,156,178,4,3,5
20200715,209,202,177,172,6,4,5
20200716,220,223,191,182,7,20,5
20200717,243,232,222,187,5,0,1
20200718,266,259,255,192,8,20,4
20200719,275,285,253,209,3,2,8
20200720,283,292,281,218,9,3,6
20200721,305,297,307,263,8,8,7
20200722,330,322,341,290,8,39,2
20200723,438,351,332,312,5,13,4
20200724,460,463,351,332,13,2,10
20200725,477,485,376,362,15,8,14
20200726,499,507,505,376,11,8,11
20200727,545,527,528,389,13,0,5
20200728,555,580,542,428,12,6,9
20200729,579,584,577,456,10,15,4
20200730,596,614,626,608,11,3,3
20200731,610,629,635,655,11,0,18
20200801,639,658,664,664,11,13,6
20200802,650,671,690,698,19,17,13
20200803,658,684,695,757,17,19,5
20200804,688,690,733,762,21,7,13
20200805,783,727,741,777,15,1,19
20200806,800,852,813,857,4,94,45
20200807,829,839,788,849,18,12,18
20200808,854,873,903,867,26,47,24
20200809,860,897,915,893,25,6,2
20200810,866,911,941,899,17,1,3
20200811,910,911,981,942,22,9,9
20200812,913,955,977,1092,26,1,27
20200813,930,960,987,1134,21,5,51
20200814,931,982,1036,1125,35,4,12
20200815,1080,974,1174,1209,21,195,63
20200816,1148,1162,1056,1278,11,7,138
20200817,1167,1205,1069,1221,25,17,63
20200818,1187,1241,1237,1253,52,54,10
20200819,1207,1246,1315,1275,30,23,51
20200820,1232,1270,1329,1313,32,9,74
20200821,1290,1287,1370,1288,31,34,22
20200822,1336,1348,1377,1487,25,21,15
20200823,1381,1410,1414,1524,22,36,56
20200824,1403,1451,1457,1569,50,3,25
20200825,1446,1491,1646,1622,27,201,10
20200826,1475,1541,1562,1595,35,2,63
20200827,1486,1564,1576,1675,25,18,8
20200828,1542,1561,1630,1768,35,9,34
20200829,1576,1617,1671,1799,45,26,17
20200830,1602,1666,1679,1836,36,2,53
20200831,1627,1685,1738,1890,19,10,10
20200901,1652,1707,1771,1899,38,13,64
20200902,1670,1738,1821,1972,42,6,40
20200903,1704,1767,1834,1942,14,15,65
20200904,1738,1782,1859,2044,42,15,46
20200905,1843,1829,1871,2146,73,24,51
20200906,1901,1932,1919,2201,51,22,78
20200907,1910,2000,1981,2230,67,26,69
20200908,1939,2025,2208,2345,12,184,212
20200909,1958,2046,2219,2258,27,133,24
20200910,1989,2068,2134,2249,84,39,55
20200911,2009,2073,2200,2276,56,61,17
20200912,2026,2109,2189,2407,73,6,98
20200913,2055,2119,2256,2508,70,44,63
20200914,2086,2150,2251,2651,71,9,168
20200915,2119,2196,2281,2481,52,20,149
20200916,2173,2218,2299,2544,60,17,90
20200917,2221,2287,2344,2551,39,27,133
20200918,2274,2350,2369,2602,11,13,104
20200919,2303,2386,2421,2861,80,10,249
20200920,2423,2420,2452,2823,83,34,180
20200921,2472,2564,2589,2708,32,59,71
20200922,2528,2661,2576,2766,45,3,51
20200923,2594,2663,2679,2760,88,32,177
20200924,2628,2721,2724,3010,66,10,97
20200925,2692,2764,2829,2976,46,29,35
20200926,2785,2819,2908,3086,97,25,103
20200927,2833,2937,2933,3408,75,28,288
20200928,2871,2993,2992,3189,68,14,91
20200929,2896,3018,3122,3274,57,43,61
20200930,2937,3041,3195,3399,110,77,4
20201001,3012,3075,3208,3609,61,32,232
20201002,3050,3149,3232,3531,84,17,60
20201003,3092,3186,3266,3540,87,29,182
20201004,3131,3227,3345,3634,89,5,122
20201005,3174,3308,3775,3640,49,524,184
20201006,3191,3370,3464,3975,59,52,240
20201007,3216,3356,3527,3787,62,119,110
20201008,3234,3398,3604,3899,49,179,29
20201009,3246,3377,3536,4061,98,49,120
20201010,3278,3408,3542,4060,108,24,34
20201011,3321,3467,3575,3915,20,14,242
20201012,3359,3481,3594,3922,90,8,271
20201013,3366,3632,3608,3918,20,36,273
20201014,3417,3551,3789,4091,42,196,110
20201015,3459,3586,3726,4011,138,93,232
20201016,3500,3646,3695,4151,85,16,62
20201017,3531,3689,3762,4101,64,3,162
20201018,3567,3701,3906,4150,112,161,210
20201019,3597,3706,3837,4267,92,49,79
20201020,3601,3774,3944,4564,93,51,357
20201021,3643,3767,4047,4239,90,153,282
20201022,3677,3828,3955,4698,90,8,379
20201023,3727,3840,4059,4501,55,186,39
20201024,3770,3912,4096,4322,126,155,256
20201025,3819,3940,4047,4521,95,75,95
20201026,3835,3955,4130,4466,87,66,232
20201027,3840,4100,4116,4385,80,13,276
20201028,3863,3945,4226,4975,37,48,401
20201029,3875,3982,4232,4455,46,155,358
20201030,3893,4036,4203,4562,87,15,237
20201031,3913,4006,4207,4671,31,36,157
20201101,3940,3993,4207,4767,4,38,87
20201102,3958,4038,4238,4931,13,35,64
20201103,3967,4038,4289,4879,8,3,25
20201104,4004,4156,4302,4878,88,23,8
20201105,4067,4202,4316,4878,58,11,14
20201106,4093,4292,4432,4905,106,252,9
20201107,4144,4301,4355,4914,98,39,10
20201108,4195,4335,4444,4956,63,39,52
20201109,4245,4381,4471,4958,106,54,40
