date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,1755,2019,2137,0,143,144,0
20200426,1821,1917,2148,2651,18,97,48
20200427,1885,1995,2257,2815,99,167,104
20200428,1937,2272,2278,2798,314,41,46
20200429,2058,2231,2322,2878,161,124,117
20200430,2162,2467,2470,2948,267,195,91
20200501,2323,2479,2533,3062,220,184,75
20200502,2526,2530,2610,3011,41,160,66
20200503,2757,2998,2744,3025,351,189,115
20200504,3023,2892,3046,3208,47,411,207
20200505,3550,3358,3106,3176,158,183,119
20200506,4058,3876,3373,3314,194,280,117
20200507,4829,4319,3596,3438,589,176,130
20200508,5409,5579,4398,3663,593,392,190
20200509,6009,5782,4819,3931,741,649,207
20200510,6535,6959,5781,3960,1167,172,106
20200511,7204,7035,6065,4411,39,573,176
20200512,8002,7243,7123,5228,698,218,233
20200513,8718,8899,7664,5570,660,189,575
20200514,9227,9750,7772,7021,694,530,336
20200515,9674,9837,9302,7176,808,178,458
20200516,10108,10718,9964,8638,813,549,361
20200517,10585,11103,10507,9237,462,619,271
20200518,11224,11646,11951,9420,526,1173,330
20200519,11760,12874,11944,11631,1279,593,393
20200520,12448,13306,12783,12169,983,999,875
20200521,13191,14049,13595,12725,1269,985,560
20200522,13967,13972,13938,14139,185,693,759
20200523,14753,15030,15273,14757,56,1094,243
20200524,15512,15887,15170,15312,279,212,542
20200525,16277,16775,16416,16160,281,590,525
20200526,17082,17806,18053,16644,491,1718,377
20200527,17728,18365,18013,18218,158,450,997
20200528,18545,19691,19213,18883,909,1029,1200
20200529,19372,19810,19715,19902,54,639,1128
20200530,20246,20942,20225,22043,375,570,2320
20200531,21184,22433,21425,21417,1120,773,283
20200601,22333,24229,22972,22875,2211,1516,850
20200602,23495,23888,23082,24176,166,433,1628
20200603,24586,25256,25533,26529,278,1821,2623
20200604,25872,26414,25718,27170,50,292,2493
20200605,27256,29092,27800,26528,1862,1694,189
20200606,28694,29873,28111,28041,314,358,855
20200607,30152,31001,29577,30648,541,855,3530
20200608,31667,32809,32006,32054,118,947,1676
20200609,33229,34170,33067,35331,533,743,4580
20200610,34914,35814,36855,36307,1809,3314,3660
20200611,36841,37213,37440,36136,772,1242,220
20200612,38716,39932,38073,39622,391,3666,2751
20200613,40698,42184,44886,42325,1028,6887,5130
20200614,42687,43428,44765,45944,35,2893,4768
20200615,44661,45851,48894,48395,24,7242,5291
20200616,46504,47413,48314,48201,386,2222,4616
20200617,48019,50484,52400,54065,784,4042,7586
20200618,50193,51183,51561,56965,90,469,7659
20200619,52334,55305,56469,54378,1673,5967,515
20200620,54449,56641,55249,63752,1282,411,9033
20200621,56845,58215,58149,65272,220,2350,8331
20200622,59377,59926,60423,62932,2201,375,615
20200623,62087,63715,64232,65687,365,2179,980
20200624,64603,65005,65085,74074,378,973,8635
20200625,67468,69737,68902,79069,691,209,8770
20200626,70977,71080,77034,79566,1459,8042,7381
20200627,74622,73787,77818,84704,1408,6786,10213
20200628,78335,81091,79041,86057,1299,2907,8300
20200629,82275,82361,79248,83405,1733,2996,1507
20200630,86224,86982,87900,89223,2019,1269,1491
20200701,90167,94552,91901,97212,2289,1200,8115
20200702,94049,96843,102347,104920,1355,11183,11929
20200703,98392,101931,98828,96918,1607,1456,2480
20200704,102721,105680,113907,108415,633,14691,3975
20200705,107001,109911,110673,115589,510,1845,7945
20200706,111151,114560,115261,122196,165,5613,9291
20200707,114978,117253,120743,127995,2978,2728,8728
20200708,118594,121266,123181,133667,3419,529,8974
20200709,122350,127683,132154,143238,1485,6017,13267
20200710,126581,128578,131358,146863,2971,1232,12039
20200711,130261,133520,135993,152305,3943,3023,12060
20200712,134226,139818,150910,152013,7126,13769,2924
20200713,138470,144142,146761,153874,8209,1449,1980
20200714,142798,145654,151149,162575,3622,2171,4357
20200715,147324,150029,156547,162532,4025,3235,4359
20200716,151820,156368,171724,166800,4228,17247,4090
20200717,156369,159611,165075,175996,3140,32,750
20200718,160907,165810,178978,185325,5049,13692,3440
20200719,165714,172147,174195,185472,1552,838,5927
20200720,170693,175653,180660,196717,4729,1837,5189
20200721,175678,178958,185497,194547,4520,4276,4800
20200722,180643,185268,204955,204182,4195,23357,1233
20200723,186492,191613,199635,214723,2715,7509,2719
20200724,192964,196645,201909,212919,5093,628,5953
20200725,199749,203106,205638,218620,6041,3676,8165
20200726,206737,212072,214735,225943,4185,2943,6326
