date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200730,58906,60491,61978,68344,1045,208,281
20200731,60717,62070,65360,72272,1098,11,1917
20200801,62703,65352,65444,72894,1053,1259,532
20200802,64786,65778,68091,73377,1810,1641,1357
20200803,66677,68072,69170,75013,1627,1825,457
20200804,68946,69828,71842,78399,2031,635,1347
20200805,70958,72782,73716,76642,1486,76,1806
20200806,73050,77115,82359,84608,374,9426,4458
20200807,75257,76515,78939,84395,1593,1101,1726
20200808,77513,79193,81809,84989,2318,4259,2328
20200809,79495,81395,83488,88986,2194,482,136
20200810,80751,84082,85326,91028,1516,71,257
20200811,82647,84860,88988,94338,2098,740,803
20200812,84544,86725,90229,98913,2302,46,2413
20200813,86475,88806,91962,103529,1956,375,4649
20200814,88396,91233,94026,102087,3221,297,1080
20200815,90259,92367,108632,109685,1954,18049,5592
20200816,91361,97012,98091,118026,865,571,12774
20200817,92255,95805,101443,113776,1980,1591,5782
20200818,93937,98025,103372,113709,4043,4486,816
20200819,95700,98577,104598,118033,2311,1803,4754
20200820,97424,100593,105020,122012,2502,683,6832
20200821,99391,101706,108379,122251,2381,2732,2013
20200822,101865,103814,109106,124201,1823,1595,1280
20200823,104249,107421,111807,121257,1641,2792,4390
20200824,106091,109491,112230,124000,3758,204,1883
20200825,108670,112739,125396,128306,2028,15252,778
20200826,111688,115726,117887,126389,2587,87,5024
20200827,114483,118334,119108,132425,1900,1320,539
20200828,117415,120174,122436,136210,2641,627,2630
20200829,120166,123040,126460,137075,3423,1935,1266
20200830,123090,126994,129337,138530,2729,119,3950
20200831,124963,129425,132283,142897,1451,698,731
20200901,127697,131037,134995,142658,2844,929,4795
20200902,130589,134277,139894,149292,3257,425,3001
20200903,133406,138121,140778,149539,1031,1146,4986
20200904,135884,139452,143608,155625,3240,1118,3427
20200905,138395,142964,146216,163541,5614,1804,3811
20200906,140969,145034,150143,169087,3851,1715,5966
20200907,142771,148257,154837,171230,4950,1977,5264
20200908,145163,151321,165746,181187,879,13825,16302
